GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0010647~positive regulation of cell communication,56,1.51e-06,"2152, 3481, 3084, 79770, 5618, 355, 8809, 2861, 90, 117, 6348, 284654, 5699, 6504, 4920, 718, 5617, 6362, 7132, 8740, 22926, 6368, 1191, 7096, 3567, 3929, 5468, 252839, 85363, 3965, 9508, 929, 25805, 7422, 8995, 28514, 2922, 51588, 7855, 5754, 51548, 89780, 7037, 6423, 6346, 9456, 3594, 55593, 26228, 3625, 2695, 2332, 146722, 1001, 5764, 10961",291,1.953203962,"['F3', 'IGF2', 'NRG1', 'TXNDC15', 'PRLR', 'FAS', 'IL18R1', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'CCL3', 'RSPO1', 'PSMB10', 'SLAMF1', 'ROR2', 'C3', 'PRL', 'CCL18', 'TNFRSF1A', 'TNFSF14', 'ATF6', 'CCL23', 'CLU', 'TLR1', 'IL5', 'LBP', 'PPARG', 'TMEM9', 'TRIM5', 'LGALS9', 'ADAMTS3', 'CD14', 'BAMBI', 'VEGFA', 'TNFSF18', 'DLL1', 'GRP', 'PIAS4', 'FZD5', 'PTK7', 'SIRT6', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'HOMER1', 'IL12RB1', 'OTUD5', 'STAP1', 'INHBB', 'GIP', 'FMR1', 'CD300LF', 'CDH3', 'PTN', 'ERP29']"
GO:0023056~positive regulation of signaling,56,1.67e-06,"2152, 3481, 3084, 79770, 5618, 355, 8809, 2861, 90, 117, 6348, 284654, 5699, 6504, 4920, 718, 5617, 6362, 7132, 8740, 22926, 6368, 1191, 7096, 3567, 3929, 5468, 252839, 85363, 3965, 9508, 929, 25805, 7422, 8995, 28514, 2922, 51588, 7855, 5754, 51548, 89780, 7037, 6423, 6346, 9456, 3594, 55593, 26228, 3625, 2695, 2332, 146722, 1001, 5764, 10961",291,1.947068243,"['F3', 'IGF2', 'NRG1', 'TXNDC15', 'PRLR', 'FAS', 'IL18R1', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'CCL3', 'RSPO1', 'PSMB10', 'SLAMF1', 'ROR2', 'C3', 'PRL', 'CCL18', 'TNFRSF1A', 'TNFSF14', 'ATF6', 'CCL23', 'CLU', 'TLR1', 'IL5', 'LBP', 'PPARG', 'TMEM9', 'TRIM5', 'LGALS9', 'ADAMTS3', 'CD14', 'BAMBI', 'VEGFA', 'TNFSF18', 'DLL1', 'GRP', 'PIAS4', 'FZD5', 'PTK7', 'SIRT6', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'HOMER1', 'IL12RB1', 'OTUD5', 'STAP1', 'INHBB', 'GIP', 'FMR1', 'CD300LF', 'CDH3', 'PTN', 'ERP29']"
GO:0009966~regulation of signal transduction,81,2.47e-06,"2152, 3481, 3084, 2192, 79770, 396, 27120, 5618, 56975, 2348, 83999, 151647, 355, 8809, 2861, 90, 117, 5654, 6348, 284654, 5699, 636, 6504, 4920, 718, 5617, 6362, 7132, 8740, 84270, 22926, 4189, 6368, 6247, 3172, 1191, 7096, 3567, 3929, 5468, 252839, 85363, 3965, 9508, 929, 23625, 25805, 7422, 27, 8995, 8313, 28514, 80739, 2922, 51341, 78986, 3135, 51588, 7855, 5754, 11167, 7076, 89780, 7037, 6423, 6346, 9456, 3594, 55593, 26228, 3625, 1840, 347, 2695, 146722, 1001, 4038, 51237, 10961, 11337, 5925",291,1.656134148,"['F3', 'IGF2', 'NRG1', 'FBLN1', 'TXNDC15', 'ARHGDIA', 'DKKL1', 'PRLR', 'FAM20C', 'FOLR1', 'KREMEN1', 'TAFA4', 'FAS', 'IL18R1', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'HTRA1', 'CCL3', 'RSPO1', 'PSMB10', 'BICD1', 'SLAMF1', 'ROR2', 'C3', 'PRL', 'CCL18', 'TNFRSF1A', 'TNFSF14', 'CARD19', 'ATF6', 'DNAJB9', 'CCL23', 'RS1', 'HNF4A', 'CLU', 'TLR1', 'IL5', 'LBP', 'PPARG', 'TMEM9', 'TRIM5', 'LGALS9', 'ADAMTS3', 'CD14', 'FAM89B', 'BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'DLL1', 'MPIG6B', 'GRP', 'ZBTB7A', 'DUSP26', 'HLA-G', 'PIAS4', 'FZD5', 'PTK7', 'FSTL1', 'TIMP1', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'HOMER1', 'IL12RB1', 'OTUD5', 'STAP1', 'INHBB', 'DTX1', 'APOD', 'GIP', 'CD300LF', 'CDH3', 'LRP4', 'MZB1', 'ERP29', 'GABARAP', 'RB1']"
GO:0065009~regulation of molecular function,70,5.9e-06,"5265, 2152, 3240, 256394, 3481, 3084, 2669, 5618, 151647, 355, 8809, 1378, 117, 6348, 636, 81494, 6504, 4920, 5934, 5858, 5195, 6362, 6368, 23654, 94033, 1191, 483, 3567, 402, 567, 325, 653145, 5468, 3689, 85363, 3965, 11116, 8751, 25805, 7422, 27, 8995, 8313, 2922, 51341, 2167, 51588, 7855, 132160, 3699, 51548, 26092, 149708, 340267, 4869, 7076, 89780, 5055, 7037, 6423, 6346, 9456, 3078, 1293, 51191, 26228, 2332, 1001, 10961, 5925",291,1.707797733,"['SERPINA1', 'F3', 'HP', 'SERPINA11', 'IGF2', 'NRG1', 'GEM', 'PRLR', 'TAFA4', 'FAS', 'IL18R1', 'CR1', 'ADCYAP1R1', 'CCL3', 'BICD1', 'CFHR5', 'SLAMF1', 'ROR2', 'RBL2', 'PZP', 'PEX14', 'CCL18', 'CCL23', 'PLXNB2', 'FTMT', 'CLU', 'ATP1B3', 'IL5', 'ARL2', 'B2M', 'APCS', 'ANXA8', 'PPARG', 'ITGB2', 'TRIM5', 'LGALS9', 'CEP43', 'ADAM15', 'BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'GRP', 'ZBTB7A', 'FABP4', 'PIAS4', 'FZD5', 'PPM1M', 'ITIH3', 'SIRT6', 'TOR1AIP1', 'WFDC5', 'COL28A1', 'NPM1', 'TIMP1', 'WNT3A', 'SERPINB2', 'TFRC', 'SFRP2', 'CCL1', 'HOMER1', 'CFHR1', 'COL6A3', 'HERC5', 'STAP1', 'FMR1', 'CDH3', 'ERP29', 'RB1']"
GO:0001934~positive regulation of protein phosphorylation,35,6.05e-06,"7422, 8995, 8313, 3481, 3084, 5618, 355, 2861, 90, 6348, 284654, 7855, 6504, 4920, 718, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 85363, 3965",291,2.347790621,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'GPR37', 'ACVR1', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'C3', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9']"
GO:0042325~regulation of phosphorylation,48,8.27e-06,"7422, 8995, 8313, 3481, 3084, 2192, 5618, 355, 51341, 2861, 78986, 90, 2167, 6348, 284654, 7855, 6504, 4920, 51548, 5934, 718, 4869, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 23654, 51191, 26228, 1191, 55233, 3625, 1389, 3567, 402, 2332, 4038, 5468, 10961, 3689, 85363, 3965, 5925, 11116",291,1.973764004,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAS', 'ZBTB7A', 'GPR37', 'DUSP26', 'ACVR1', 'FABP4', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'SIRT6', 'RBL2', 'C3', 'NPM1', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'PLXNB2', 'HERC5', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'ARL2', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'ITGB2', 'TRIM5', 'LGALS9', 'RB1', 'CEP43']"
GO:0010646~regulation of cell communication,86,1.18e-05,"2152, 3481, 3084, 2192, 79770, 396, 27120, 5618, 56975, 2348, 83999, 151647, 355, 8809, 2861, 90, 117, 5654, 6348, 284654, 5699, 636, 6504, 4920, 718, 5617, 6362, 7132, 8740, 84270, 22926, 4189, 6368, 6247, 3172, 1191, 7096, 27253, 3567, 3929, 5468, 252839, 85363, 3965, 9508, 929, 23625, 25805, 7422, 27, 8995, 8313, 28514, 80739, 2922, 51341, 78986, 3135, 51588, 7855, 5754, 11167, 51548, 7076, 89780, 7037, 64101, 6423, 6346, 9456, 3594, 55593, 26228, 3625, 1840, 347, 2695, 2332, 146722, 1001, 5764, 4038, 51237, 10961, 11337, 5925",291,1.558724996,"['F3', 'IGF2', 'NRG1', 'FBLN1', 'TXNDC15', 'ARHGDIA', 'DKKL1', 'PRLR', 'FAM20C', 'FOLR1', 'KREMEN1', 'TAFA4', 'FAS', 'IL18R1', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'HTRA1', 'CCL3', 'RSPO1', 'PSMB10', 'BICD1', 'SLAMF1', 'ROR2', 'C3', 'PRL', 'CCL18', 'TNFRSF1A', 'TNFSF14', 'CARD19', 'ATF6', 'DNAJB9', 'CCL23', 'RS1', 'HNF4A', 'CLU', 'TLR1', 'PCDH17', 'IL5', 'LBP', 'PPARG', 'TMEM9', 'TRIM5', 'LGALS9', 'ADAMTS3', 'CD14', 'FAM89B', 'BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'DLL1', 'MPIG6B', 'GRP', 'ZBTB7A', 'DUSP26', 'HLA-G', 'PIAS4', 'FZD5', 'PTK7', 'FSTL1', 'SIRT6', 'TIMP1', 'WNT3A', 'TFRC', 'LRRC4', 'SFRP2', 'CCL1', 'HOMER1', 'IL12RB1', 'OTUD5', 'STAP1', 'INHBB', 'DTX1', 'APOD', 'GIP', 'FMR1', 'CD300LF', 'CDH3', 'PTN', 'LRP4', 'MZB1', 'ERP29', 'GABARAP', 'RB1']"
GO:0023051~regulation of signaling,86,1.73e-05,"2152, 3481, 3084, 2192, 79770, 396, 27120, 5618, 56975, 2348, 83999, 151647, 355, 8809, 2861, 90, 117, 5654, 6348, 284654, 5699, 636, 6504, 4920, 718, 5617, 6362, 7132, 8740, 84270, 22926, 4189, 6368, 6247, 3172, 1191, 7096, 27253, 3567, 3929, 5468, 252839, 85363, 3965, 9508, 929, 23625, 25805, 7422, 27, 8995, 8313, 28514, 80739, 2922, 51341, 78986, 3135, 51588, 7855, 5754, 11167, 51548, 7076, 89780, 7037, 64101, 6423, 6346, 9456, 3594, 55593, 26228, 3625, 1840, 347, 2695, 2332, 146722, 1001, 5764, 4038, 51237, 10961, 11337, 5925",291,1.543559023,"['F3', 'IGF2', 'NRG1', 'FBLN1', 'TXNDC15', 'ARHGDIA', 'DKKL1', 'PRLR', 'FAM20C', 'FOLR1', 'KREMEN1', 'TAFA4', 'FAS', 'IL18R1', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'HTRA1', 'CCL3', 'RSPO1', 'PSMB10', 'BICD1', 'SLAMF1', 'ROR2', 'C3', 'PRL', 'CCL18', 'TNFRSF1A', 'TNFSF14', 'CARD19', 'ATF6', 'DNAJB9', 'CCL23', 'RS1', 'HNF4A', 'CLU', 'TLR1', 'PCDH17', 'IL5', 'LBP', 'PPARG', 'TMEM9', 'TRIM5', 'LGALS9', 'ADAMTS3', 'CD14', 'FAM89B', 'BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'DLL1', 'MPIG6B', 'GRP', 'ZBTB7A', 'DUSP26', 'HLA-G', 'PIAS4', 'FZD5', 'PTK7', 'FSTL1', 'SIRT6', 'TIMP1', 'WNT3A', 'TFRC', 'LRRC4', 'SFRP2', 'CCL1', 'HOMER1', 'IL12RB1', 'OTUD5', 'STAP1', 'INHBB', 'DTX1', 'APOD', 'GIP', 'FMR1', 'CD300LF', 'CDH3', 'PTN', 'LRP4', 'MZB1', 'ERP29', 'GABARAP', 'RB1']"
GO:0001932~regulation of protein phosphorylation,44,1.98e-05,"7422, 8995, 8313, 3481, 3084, 2192, 5618, 355, 2861, 78986, 90, 2167, 6348, 284654, 7855, 6504, 4920, 718, 4869, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 23654, 51191, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 3689, 85363, 3965, 5925, 11116",291,1.983702055,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAS', 'GPR37', 'DUSP26', 'ACVR1', 'FABP4', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'C3', 'NPM1', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'PLXNB2', 'HERC5', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'ITGB2', 'TRIM5', 'LGALS9', 'RB1', 'CEP43']"
GO:0042327~positive regulation of phosphorylation,35,2.8e-05,"7422, 8995, 8313, 3481, 3084, 5618, 355, 2861, 90, 6348, 284654, 7855, 6504, 4920, 718, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 85363, 3965",291,2.180405924,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'GPR37', 'ACVR1', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'C3', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9']"
GO:0051174~regulation of phosphorus metabolic process,50,3.08e-05,"3481, 3084, 2192, 5618, 56975, 355, 2861, 90, 117, 6348, 284654, 6504, 4920, 5934, 718, 6362, 7132, 6368, 23654, 1191, 1389, 3567, 402, 5468, 3689, 85363, 3965, 11116, 7422, 8995, 8313, 51341, 78986, 2167, 7855, 51548, 4869, 89780, 7037, 6423, 6346, 8764, 51191, 26228, 3625, 55233, 2332, 4038, 10961, 5925",291,1.843668371,"['IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAM20C', 'FAS', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'CCL3', 'RSPO1', 'SLAMF1', 'ROR2', 'RBL2', 'C3', 'CCL18', 'TNFRSF1A', 'CCL23', 'PLXNB2', 'CLU', 'CREBL2', 'IL5', 'ARL2', 'PPARG', 'ITGB2', 'TRIM5', 'LGALS9', 'CEP43', 'VEGFA', 'TNFSF18', 'AXIN2', 'ZBTB7A', 'DUSP26', 'FABP4', 'FZD5', 'SIRT6', 'NPM1', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'TNFRSF14', 'HERC5', 'STAP1', 'INHBB', 'MOB1A', 'FMR1', 'LRP4', 'ERP29', 'RB1']"
GO:0031401~positive regulation of protein modification process,39,3.56e-05,"7422, 8995, 8313, 3481, 3084, 5618, 355, 2861, 90, 51588, 6348, 284654, 7855, 6504, 4920, 51548, 4602, 718, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 85363, 3965, 11337",291,2.044158211,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'GPR37', 'ACVR1', 'PIAS4', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'SIRT6', 'MYB', 'C3', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9', 'GABARAP']"
GO:0019220~regulation of phosphate metabolic process,49,5.88e-05,"3481, 3084, 2192, 5618, 355, 2861, 90, 117, 6348, 284654, 6504, 4920, 5934, 718, 6362, 7132, 6368, 23654, 1191, 1389, 3567, 402, 5468, 3689, 85363, 3965, 11116, 7422, 8995, 8313, 51341, 78986, 2167, 7855, 51548, 4869, 89780, 7037, 6423, 6346, 8764, 51191, 26228, 3625, 55233, 2332, 4038, 10961, 5925",291,1.811825056,"['IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAS', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'CCL3', 'RSPO1', 'SLAMF1', 'ROR2', 'RBL2', 'C3', 'CCL18', 'TNFRSF1A', 'CCL23', 'PLXNB2', 'CLU', 'CREBL2', 'IL5', 'ARL2', 'PPARG', 'ITGB2', 'TRIM5', 'LGALS9', 'CEP43', 'VEGFA', 'TNFSF18', 'AXIN2', 'ZBTB7A', 'DUSP26', 'FABP4', 'FZD5', 'SIRT6', 'NPM1', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'TNFRSF14', 'HERC5', 'STAP1', 'INHBB', 'MOB1A', 'FMR1', 'LRP4', 'ERP29', 'RB1']"
GO:0045937~positive regulation of phosphate metabolic process,36,7.66e-05,"7422, 8995, 8313, 3481, 3084, 5618, 355, 2861, 90, 117, 6348, 284654, 7855, 6504, 4920, 718, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 85363, 3965",291,2.045099786,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'C3', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9']"
GO:0010562~positive regulation of phosphorus metabolic process,36,7.66e-05,"7422, 8995, 8313, 3481, 3084, 5618, 355, 2861, 90, 117, 6348, 284654, 7855, 6504, 4920, 718, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 85363, 3965",291,2.045099786,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'GPR37', 'ACVR1', 'ADCYAP1R1', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'C3', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9']"
GO:0050790~regulation of catalytic activity,52,8.49e-05,"5265, 2152, 3240, 256394, 3481, 3084, 5618, 355, 1378, 117, 6348, 636, 6504, 4920, 5934, 5858, 6362, 6368, 23654, 94033, 1191, 483, 402, 325, 653145, 5468, 3689, 3965, 11116, 7422, 27, 8313, 2167, 7855, 132160, 3699, 51548, 26092, 149708, 340267, 4869, 7076, 89780, 5055, 6423, 6346, 1293, 51191, 26228, 1001, 10961, 5925",291,1.744954323,"['SERPINA1', 'F3', 'HP', 'SERPINA11', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'CR1', 'ADCYAP1R1', 'CCL3', 'BICD1', 'SLAMF1', 'ROR2', 'RBL2', 'PZP', 'CCL18', 'CCL23', 'PLXNB2', 'FTMT', 'CLU', 'ATP1B3', 'ARL2', 'APCS', 'ANXA8', 'PPARG', 'ITGB2', 'LGALS9', 'CEP43', 'VEGFA', 'ABL2', 'AXIN2', 'FABP4', 'FZD5', 'PPM1M', 'ITIH3', 'SIRT6', 'TOR1AIP1', 'WFDC5', 'COL28A1', 'NPM1', 'TIMP1', 'WNT3A', 'SERPINB2', 'SFRP2', 'CCL1', 'COL6A3', 'HERC5', 'STAP1', 'CDH3', 'ERP29', 'RB1']"
GO:0032270~positive regulation of cellular protein metabolic process,45,0.000167,"7422, 8995, 8313, 2152, 3481, 3084, 5618, 355, 144233, 1378, 2861, 90, 51588, 6348, 284654, 7855, 6504, 4920, 51548, 4602, 718, 4869, 6362, 7132, 89780, 7133, 7037, 6346, 6423, 6368, 8764, 23654, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 85363, 3965, 11337",291,1.791607951,"['VEGFA', 'TNFSF18', 'AXIN2', 'F3', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'BCDIN3D', 'CR1', 'GPR37', 'ACVR1', 'PIAS4', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'SIRT6', 'MYB', 'C3', 'NPM1', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TNFRSF1B', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'PLXNB2', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9', 'GABARAP']"
GO:0051247~positive regulation of protein metabolic process,46,0.000303,"7422, 8995, 8313, 2152, 3481, 3084, 5618, 355, 144233, 1378, 2861, 90, 51588, 6348, 284654, 7855, 6504, 4920, 51548, 4602, 718, 4869, 6362, 7132, 89780, 7133, 7037, 6346, 6423, 6368, 8764, 23654, 26228, 1191, 55233, 3625, 1389, 3567, 722, 2332, 4038, 5468, 10961, 85363, 3965, 11337",291,1.729791051,"['VEGFA', 'TNFSF18', 'AXIN2', 'F3', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'BCDIN3D', 'CR1', 'GPR37', 'ACVR1', 'PIAS4', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'SIRT6', 'MYB', 'C3', 'NPM1', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TNFRSF1B', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'PLXNB2', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'C4BPA', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'TRIM5', 'LGALS9', 'GABARAP']"
GO:0006468~protein phosphorylation,49,0.000455,"129685, 3481, 3084, 2192, 5618, 56975, 355, 2861, 90, 6348, 284654, 5699, 6504, 4920, 718, 6362, 7132, 6368, 1191, 1389, 3567, 5468, 3689, 85363, 3965, 11116, 7422, 27, 8995, 8313, 78986, 2167, 7855, 5754, 4869, 89780, 7037, 6423, 6346, 8764, 51191, 91461, 26228, 3625, 55233, 2332, 4038, 10961, 5925",291,1.661070853,"['TAF8', 'IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAM20C', 'FAS', 'GPR37', 'ACVR1', 'CCL3', 'RSPO1', 'PSMB10', 'SLAMF1', 'ROR2', 'C3', 'CCL18', 'TNFRSF1A', 'CCL23', 'CLU', 'CREBL2', 'IL5', 'PPARG', 'ITGB2', 'TRIM5', 'LGALS9', 'CEP43', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'DUSP26', 'FABP4', 'FZD5', 'PTK7', 'NPM1', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'TNFRSF14', 'HERC5', 'PKDCC', 'STAP1', 'INHBB', 'MOB1A', 'FMR1', 'LRP4', 'ERP29', 'RB1']"
GO:0031399~regulation of protein modification process,48,0.0006,"7422, 8995, 8313, 3481, 3084, 2192, 5618, 355, 2861, 78986, 90, 2167, 51588, 6348, 284654, 7855, 6504, 4920, 51548, 4602, 718, 4869, 6362, 7132, 89780, 7037, 6346, 6423, 6368, 8764, 23654, 51191, 26228, 1191, 55233, 3625, 1389, 3567, 2332, 4038, 5468, 10961, 3689, 85363, 3965, 11337, 5925, 11116",291,1.651621174,"['VEGFA', 'TNFSF18', 'AXIN2', 'IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAS', 'GPR37', 'DUSP26', 'ACVR1', 'FABP4', 'PIAS4', 'CCL3', 'RSPO1', 'FZD5', 'SLAMF1', 'ROR2', 'SIRT6', 'MYB', 'C3', 'NPM1', 'CCL18', 'TNFRSF1A', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'TNFRSF14', 'PLXNB2', 'HERC5', 'STAP1', 'CLU', 'MOB1A', 'INHBB', 'CREBL2', 'IL5', 'FMR1', 'LRP4', 'PPARG', 'ERP29', 'ITGB2', 'TRIM5', 'LGALS9', 'GABARAP', 'RB1', 'CEP43']"
GO:0044093~positive regulation of molecular function,41,0.000805,"25805, 7422, 27, 8995, 8313, 2152, 3481, 3084, 5618, 355, 8809, 1378, 51341, 117, 132160, 6348, 7855, 4920, 51548, 26092, 4869, 6362, 89780, 7037, 6346, 6423, 6368, 26228, 94033, 483, 1191, 3567, 567, 2332, 1001, 5468, 10961, 3689, 85363, 3965, 5925",291,1.718918133,"['BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'F3', 'IGF2', 'NRG1', 'PRLR', 'FAS', 'IL18R1', 'CR1', 'ZBTB7A', 'ADCYAP1R1', 'PPM1M', 'CCL3', 'FZD5', 'ROR2', 'SIRT6', 'TOR1AIP1', 'NPM1', 'CCL18', 'WNT3A', 'TFRC', 'CCL1', 'SFRP2', 'CCL23', 'STAP1', 'FTMT', 'ATP1B3', 'CLU', 'IL5', 'B2M', 'FMR1', 'CDH3', 'PPARG', 'ERP29', 'ITGB2', 'TRIM5', 'LGALS9', 'RB1']"
GO:0016310~phosphorylation,55,0.001142241,"129685, 3481, 3084, 2192, 5618, 56975, 355, 2861, 90, 6348, 284654, 5699, 6504, 4920, 5934, 718, 6362, 7132, 6368, 23654, 1191, 1389, 3567, 402, 5468, 3689, 85363, 3965, 11116, 7422, 27, 8995, 8313, 1120, 51341, 78986, 2167, 7855, 5754, 51548, 4869, 89780, 7037, 6423, 6346, 8764, 51191, 91461, 26228, 3625, 55233, 2332, 4038, 10961, 5925",291,1.53789112,"['TAF8', 'IGF2', 'NRG1', 'FBLN1', 'PRLR', 'FAM20C', 'FAS', 'GPR37', 'ACVR1', 'CCL3', 'RSPO1', 'PSMB10', 'SLAMF1', 'ROR2', 'RBL2', 'C3', 'CCL18', 'TNFRSF1A', 'CCL23', 'PLXNB2', 'CLU', 'CREBL2', 'IL5', 'ARL2', 'PPARG', 'ITGB2', 'TRIM5', 'LGALS9', 'CEP43', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'CHKB', 'ZBTB7A', 'DUSP26', 'FABP4', 'FZD5', 'PTK7', 'SIRT6', 'NPM1', 'WNT3A', 'TFRC', 'SFRP2', 'CCL1', 'TNFRSF14', 'HERC5', 'PKDCC', 'STAP1', 'INHBB', 'MOB1A', 'FMR1', 'LRP4', 'ERP29', 'RB1']"
