GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0065009~regulation of molecular function,38,0.010721451,"22976, 8853, 3164, 6590, 5618, 3958, 332, 1512, 117584, 355, 3479, 10418, 336, 5996, 6504, 5657, 10972, 26092, 149708, 4869, 9212, 7035, 22925, 7037, 2660, 58189, 26228, 5806, 10406, 3567, 325, 567, 1001, 6358, 5468, 8536, 902, 85363",181,1.49051518
GO:0051248~negative regulation of protein metabolic process,24,0.043974397,"8575, 7035, 3486, 58189, 3164, 6590, 5806, 3958, 10406, 332, 2886, 117584, 3479, 10418, 3488, 325, 966, 5468, 10972, 149708, 5648, 1846, 11326, 4869",181,1.509087715
GO:0032269~negative regulation of cellular protein metabolic process,20,0.179960252,"8575, 7035, 3486, 58189, 3164, 6590, 3958, 10406, 332, 2886, 117584, 3488, 966, 5468, 10972, 149708, 5648, 1846, 11326, 4869",181,1.314067148
GO:0009892~negative regulation of metabolic process,36,0.361712736,"8575, 3486, 3164, 8493, 3183, 6590, 10613, 3958, 332, 2886, 117584, 3479, 10418, 336, 50674, 10972, 149708, 11326, 4869, 9212, 7035, 2660, 58189, 26228, 5806, 10406, 23051, 325, 3488, 28960, 100134934, 966, 5468, 947, 5648, 1846",181,1.092565779
GO:0031324~negative regulation of cellular metabolic process,33,0.392134741,"8575, 3486, 3164, 3183, 6590, 10613, 3958, 332, 2886, 117584, 3479, 10418, 50674, 10972, 149708, 11326, 4869, 9212, 7035, 2660, 58189, 26228, 5806, 10406, 23051, 325, 3488, 100134934, 966, 5468, 947, 5648, 1846",181,1.085441325
GO:0010605~negative regulation of macromolecule metabolic process,32,0.493940913,"8575, 3486, 3164, 8493, 3183, 6590, 3958, 332, 2886, 117584, 3479, 10418, 50674, 10972, 149708, 11326, 4869, 9212, 7035, 58189, 5806, 10406, 23051, 325, 3488, 28960, 100134934, 966, 5468, 947, 5648, 1846",181,1.042274126
GO:1903035~negative regulation of response to wounding,8,2.80E-05,"7035, 83999, 325, 5468, 58189, 947, 2160, 5627",181,9.086634536
GO:0061045~negative regulation of wound healing,7,1.09E-04,"7035, 325, 5468, 58189, 947, 2160, 5627",181,9.226860378
GO:0042060~wound healing,15,3.45E-04,"4162, 7035, 5068, 2683, 2660, 58189, 2160, 3479, 325, 1001, 375033, 966, 5468, 947, 5627",181,3.109746285
GO:0009611~response to wounding,17,4.44E-04,"4162, 7035, 5068, 2683, 2660, 58189, 2160, 84417, 83999, 3479, 325, 1001, 375033, 966, 5468, 947, 5627",181,2.76264117
GO:1903034~regulation of response to wounding,9,0.001120074,"7035, 83999, 5068, 325, 5468, 58189, 947, 2160, 5627",181,4.3480163
GO:0061041~regulation of wound healing,8,0.002134323,"7035, 5068, 325, 5468, 58189, 947, 2160, 5627",181,4.471956264
GO:0030195~negative regulation of blood coagulation,4,0.010109966,"7035, 947, 2160, 5627",181,8.89732965
GO:1900047~negative regulation of hemostasis,4,0.010696779,"7035, 947, 2160, 5627",181,8.715751494
GO:0050819~negative regulation of coagulation,4,0.013238575,"7035, 947, 2160, 5627",181,8.057958928
GO:0030193~regulation of blood coagulation,4,0.0667987,"7035, 947, 2160, 5627",181,4.270718232
GO:1900046~regulation of hemostasis,4,0.070001738,"7035, 947, 2160, 5627",181,4.186978659
GO:0007596~blood coagulation,6,0.071201703,"7035, 375033, 966, 947, 2160, 5627",181,2.702986223
GO:0050818~regulation of coagulation,4,0.076611655,"7035, 947, 2160, 5627",181,4.028979464
GO:0007599~hemostasis,6,0.080623058,"7035, 375033, 966, 947, 2160, 5627",181,2.604096483
GO:0050817~coagulation,6,0.080623058,"7035, 375033, 966, 947, 2160, 5627",181,2.604096483
GO:0050878~regulation of body fluid levels,8,0.093024752,"5618, 7035, 375033, 966, 947, 2160, 5627, 5617",181,2.063148904
GO:0043030~regulation of macrophage activation,5,0.002826552,"3929, 1075, 26228, 9173, 11326",181,8.473647286
GO:0043032~positive regulation of macrophage activation,4,0.002948728,"3929, 1075, 26228, 9173",181,13.77651043
GO:0002274~myeloid leukocyte activation,8,0.007041605,"338339, 3929, 146722, 1075, 6504, 26228, 9173, 11326",181,3.58883885
GO:0042116~macrophage activation,5,0.016800774,"3929, 1075, 26228, 9173, 11326",181,5.084188371
GO:0007155~cell adhesion,36,1.51E-06,"7087, 5067, 5068, 1000, 3483, 3384, 100049587, 3958, 10516, 80781, 3479, 3918, 53841, 10418, 284359, 55423, 79778, 6504, 11326, 4162, 7037, 90952, 7412, 2683, 114798, 182, 567, 3909, 1001, 4059, 375033, 78999, 10164, 342035, 947, 1824",181,2.408299755
GO:0022610~biological adhesion,36,1.67E-06,"7087, 5067, 5068, 1000, 3483, 3384, 100049587, 3958, 10516, 80781, 3479, 3918, 53841, 10418, 284359, 55423, 79778, 6504, 11326, 4162, 7037, 90952, 7412, 2683, 114798, 182, 567, 3909, 1001, 4059, 375033, 78999, 10164, 342035, 947, 1824",181,2.397783162
GO:0098609~cell-cell adhesion,25,2.78E-05,"7087, 5068, 1000, 3384, 3958, 3479, 53841, 284359, 55423, 6504, 11326, 7037, 90952, 7412, 114798, 182, 567, 3909, 1001, 375033, 78999, 10164, 342035, 947, 1824",181,2.614298624
GO:0002696~positive regulation of leukocyte activation,15,1.61E-04,"22976, 7037, 7412, 1075, 26228, 9173, 5618, 338339, 3567, 3479, 3929, 567, 55423, 84787, 6504",181,3.350458864
GO:0050867~positive regulation of cell activation,15,2.89E-04,"22976, 7037, 7412, 1075, 26228, 9173, 5618, 338339, 3567, 3479, 3929, 567, 55423, 84787, 6504",181,3.165057978
GO:0016337~single organismal cell-cell adhesion,16,0.002151226,"7037, 7412, 1000, 182, 3958, 3479, 284359, 567, 55423, 1001, 375033, 10164, 6504, 342035, 1824, 11326",181,2.465061029
GO:0098602~single organism cell adhesion,17,0.002474177,"7037, 7412, 1000, 182, 3958, 3479, 284359, 567, 55423, 79778, 1001, 375033, 10164, 6504, 342035, 1824, 11326",181,2.342006772
GO:0032944~regulation of mononuclear cell proliferation,9,0.002552253,"5618, 3958, 1401, 3479, 7037, 3567, 7412, 6504, 11326",181,3.813141279
GO:0070663~regulation of leukocyte proliferation,9,0.003952603,"5618, 3958, 1401, 3479, 7037, 3567, 7412, 6504, 11326",181,3.54579927
GO:0001775~cell activation,22,0.004876429,"22976, 7037, 7412, 28514, 1075, 26228, 9173, 5618, 3936, 338339, 3958, 3567, 3479, 3929, 567, 55423, 146722, 84787, 375033, 6504, 925, 11326",181,1.923746951
GO:0050670~regulation of lymphocyte proliferation,8,0.008733072,"5618, 3958, 3479, 7037, 3567, 7412, 6504, 11326",181,3.444127606
GO:0032943~mononuclear cell proliferation,9,0.011359094,"5618, 3958, 1401, 3479, 7037, 3567, 7412, 6504, 11326",181,2.956651084
GO:0050671~positive regulation of lymphocyte proliferation,6,0.01293233,"5618, 3479, 7037, 3567, 7412, 6504",181,4.299380771
GO:0032946~positive regulation of mononuclear cell proliferation,6,0.013994066,"5618, 3479, 7037, 3567, 7412, 6504",181,4.214524571
GO:0070661~leukocyte proliferation,9,0.018753568,"5618, 3958, 1401, 3479, 7037, 3567, 7412, 6504, 11326",181,2.699189894
GO:0070665~positive regulation of leukocyte proliferation,6,0.018769295,"5618, 3479, 7037, 3567, 7412, 6504",181,3.906144724
GO:0046649~lymphocyte activation,16,0.020375226,"22976, 7037, 7412, 28514, 5618, 3936, 338339, 3958, 3567, 3479, 567, 55423, 84787, 6504, 925, 11326",181,1.908700886
GO:0046651~lymphocyte proliferation,8,0.030938198,"5618, 3958, 3479, 7037, 3567, 7412, 6504, 11326",181,2.660883634
GO:0042129~regulation of T cell proliferation,6,0.033701845,"3958, 3479, 7037, 7412, 6504, 11326",181,3.353967198
GO:0042110~T cell activation,11,0.041613911,"3936, 3958, 338339, 3479, 7037, 567, 55423, 7412, 6504, 925, 11326",181,2.056825768
GO:1903039~positive regulation of leukocyte cell-cell adhesion,7,0.047779132,"3479, 7037, 567, 55423, 7412, 10164, 6504",181,2.669198895
GO:1903037~regulation of leukocyte cell-cell adhesion,9,0.049154787,"3958, 3479, 7037, 567, 55423, 7412, 10164, 6504, 11326",181,2.229493277
GO:0022407~regulation of cell-cell adhesion,10,0.062784558,"3958, 3479, 7037, 567, 55423, 7412, 10164, 6504, 182, 11326",181,1.999399921
GO:0050863~regulation of T cell activation,8,0.071540925,"3958, 3479, 7037, 567, 55423, 7412, 6504, 11326",181,2.201401151
GO:0007159~leukocyte cell-cell adhesion,9,0.072049845,"3958, 3479, 7037, 567, 55423, 7412, 10164, 6504, 11326",181,2.053229919
GO:0042102~positive regulation of T cell proliferation,4,0.081742985,"3479, 7037, 7412, 6504",181,3.918090121
GO:0022409~positive regulation of cell-cell adhesion,7,0.084965708,"3479, 7037, 567, 55423, 7412, 10164, 6504",181,2.292563468
GO:0050870~positive regulation of T cell activation,6,0.091292279,"3479, 7037, 567, 55423, 7412, 6504",181,2.502373964
GO:0030155~regulation of cell adhesion,13,0.10210559,"7037, 7412, 28514, 182, 5618, 3958, 3479, 567, 55423, 3909, 10164, 6504, 11326",181,1.627178693
GO:0042098~T cell proliferation,5,0.140023286,"3479, 7037, 7412, 6504, 11326",181,2.494578407
GO:0045785~positive regulation of cell adhesion,7,0.313208186,"3479, 7037, 567, 55423, 7412, 10164, 6504",181,1.512906256
GO:0010035~response to inorganic substance,5,0.78702463,"7037, 567, 2861, 7412, 140606",181,0.928417007
GO:0010038~response to metal ion,3,0.868145691,"7037, 567, 7412",181,0.851871988
GO:0019730~antimicrobial humoral response,9,1.74E-04,"3958, 10406, 5068, 567, 6039, 5657, 149708, 5968, 6590",181,5.75396169
GO:0019731~antibacterial humoral response,5,0.006356233,"10406, 567, 6039, 149708, 6590",181,6.757465557
GO:0042742~defense response to bacterium,10,0.017158387,"7132, 338339, 10406, 1401, 140596, 3929, 567, 6039, 149708, 6590",181,2.542094186
GO:0050830~defense response to Gram-positive bacterium,5,0.033454763,"1401, 140596, 3929, 567, 6039",181,4.106459839
GO:0050829~defense response to Gram-negative bacterium,4,0.065223142,"140596, 3929, 567, 6039",181,4.3138568
GO:1905155~positive regulation of membrane invagination,3,0.007294192,"5468, 26228, 718",181,22.87884767
"GO:0060100~positive regulation of phagocytosis, engulfment",3,0.007294192,"5468, 26228, 718",181,22.87884767
"GO:0060099~regulation of phagocytosis, engulfment",3,0.009502022,"5468, 26228, 718",181,20.01899171
GO:1905153~regulation of membrane invagination,3,0.009502022,"5468, 26228, 718",181,20.01899171
GO:0099024~plasma membrane invagination,4,0.180111568,"9212, 5468, 26228, 718",181,2.720202696
GO:0010324~membrane invagination,4,0.196114984,"9212, 5468, 26228, 718",181,2.604096483
"GO:0006911~phagocytosis, engulfment",3,0.399352621,"5468, 26228, 718",181,2.16421532
GO:0001934~positive regulation of protein phosphorylation,22,3.71E-04,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.37262124
GO:0042327~positive regulation of phosphorylation,22,9.64E-04,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.203466255
GO:0007166~cell surface receptor signaling pathway,45,9.84E-04,"51738, 5286, 5069, 3486, 28514, 1000, 5618, 3958, 2886, 117584, 83999, 355, 1675, 151888, 3479, 51267, 27189, 10990, 6504, 718, 343413, 5617, 7132, 7032, 2660, 182, 26228, 9173, 338339, 3567, 3929, 3489, 2675, 3488, 3909, 146722, 2277, 1001, 966, 6358, 5468, 925, 5648, 57715, 10501",181,1.614977483
GO:0009967~positive regulation of signal transduction,30,0.001165744,"51738, 8575, 3486, 28514, 1000, 5618, 1512, 355, 3479, 2861, 6504, 718, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 338339, 3567, 3929, 3489, 3488, 146722, 1001, 6358, 5468, 85363",181,1.870933805
GO:0001932~regulation of protein phosphorylation,27,0.001199856,"51738, 6871, 3486, 1000, 5618, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.957050106
GO:0031401~positive regulation of protein modification process,24,0.001631729,"22976, 7132, 9212, 51738, 7037, 6871, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.022439573
GO:0010647~positive regulation of cell communication,31,0.002902009,"51738, 8575, 3486, 28514, 1000, 5618, 1512, 355, 3479, 2861, 6504, 718, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 3488, 146722, 1001, 6358, 5468, 85363",181,1.738343818
GO:0045937~positive regulation of phosphate metabolic process,22,0.00295573,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.009319955
GO:0010562~positive regulation of phosphorus metabolic process,22,0.00295573,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.009319955
GO:0023056~positive regulation of signaling,31,0.003040595,"51738, 8575, 3486, 28514, 1000, 5618, 1512, 355, 3479, 2861, 6504, 718, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 3488, 146722, 1001, 6358, 5468, 85363",181,1.732883052
GO:0032270~positive regulation of cellular protein metabolic process,28,0.003309702,"22976, 51738, 6871, 3486, 1000, 5618, 332, 1512, 355, 3479, 10418, 2861, 6504, 718, 4869, 7132, 9212, 7037, 2660, 1075, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 85363",181,1.792267843
GO:0051247~positive regulation of protein metabolic process,29,0.003707558,"22976, 51738, 6871, 3486, 1000, 5618, 332, 1512, 355, 3479, 10418, 2861, 6504, 718, 4869, 7132, 9212, 7037, 92370, 2660, 1075, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 85363",181,1.753267677
GO:0042325~regulation of phosphorylation,27,0.004246188,"51738, 6871, 3486, 1000, 5618, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.784975112
GO:0051174~regulation of phosphorus metabolic process,29,0.004858946,"51738, 6871, 3486, 1000, 5618, 3958, 332, 56975, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.719195291
GO:0019220~regulation of phosphate metabolic process,28,0.008771774,"51738, 6871, 3486, 1000, 5618, 3958, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.664533832
GO:0016310~phosphorylation,34,0.011872111,"51738, 8575, 5286, 6871, 3486, 1000, 5618, 332, 56975, 1512, 355, 3479, 2026, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 83440, 6358, 5468, 8536, 4710, 902, 85363, 1846",181,1.528467578
GO:0031399~regulation of protein modification process,29,0.012020813,"22976, 51738, 6871, 3486, 1000, 5618, 3958, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.604285346
GO:0006468~protein phosphorylation,29,0.014467705,"51738, 8575, 3486, 1000, 5618, 332, 56975, 1512, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.580536354
GO:0070887~cellular response to chemical stimulus,42,0.018642631,"51738, 8575, 5286, 28514, 3164, 1082, 5618, 3958, 56975, 10516, 1512, 117584, 355, 3479, 140596, 57048, 2861, 10990, 6504, 4869, 7132, 4360, 7032, 7035, 22925, 7037, 5972, 7412, 2660, 26228, 9173, 3567, 3929, 1388, 3488, 567, 28960, 146722, 2277, 6358, 5468, 947",181,1.400454136
GO:1902533~positive regulation of intracellular signal transduction,18,0.032526195,"7132, 51738, 8575, 22925, 7037, 1000, 3486, 5618, 338339, 3567, 3479, 3489, 3488, 2861, 6358, 6504, 85363, 5617",181,1.715913575
GO:0006796~phosphate-containing compound metabolic process,41,0.033929406,"9388, 51738, 8575, 5286, 6871, 3486, 1000, 8493, 5618, 3958, 332, 56975, 1512, 355, 3479, 2026, 336, 57048, 2861, 6504, 718, 4869, 7132, 9212, 9551, 7037, 5972, 92370, 2660, 26228, 3567, 3489, 2277, 83440, 6358, 5468, 8536, 4710, 902, 85363, 1846",181,1.351910497
GO:0043408~regulation of MAPK cascade,13,0.03978666,"51738, 5972, 1000, 3486, 355, 3479, 3489, 2861, 6358, 5468, 6504, 85363, 1846",181,1.909193157
GO:0006793~phosphorus metabolic process,41,0.049230179,"9388, 51738, 8575, 5286, 6871, 3486, 1000, 8493, 5618, 3958, 332, 56975, 1512, 355, 3479, 2026, 336, 57048, 2861, 6504, 718, 4869, 7132, 9212, 9551, 7037, 5972, 92370, 2660, 26228, 3567, 3489, 2277, 83440, 6358, 5468, 8536, 4710, 902, 85363, 1846",181,1.315350417
GO:0009966~regulation of signal transduction,40,0.052707176,"51738, 8575, 3486, 28514, 1000, 5618, 3958, 56975, 1512, 117584, 83999, 355, 3479, 57048, 2861, 5996, 6504, 718, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 1075, 182, 26228, 338339, 3567, 3929, 3489, 1388, 3488, 146722, 1001, 6358, 5468, 85363, 1846",181,1.314876303
GO:0000165~MAPK cascade,13,0.091437562,"51738, 1000, 3486, 1512, 355, 3479, 3489, 2861, 6358, 5468, 6504, 85363, 1846",181,1.660267255
GO:0023014~signal transduction by protein phosphorylation,13,0.091437562,"51738, 1000, 3486, 1512, 355, 3479, 3489, 2861, 6358, 5468, 6504, 85363, 1846",181,1.660267255
GO:1902531~regulation of intracellular signal transduction,25,0.095227622,"51738, 8575, 3486, 1000, 5618, 117584, 355, 3479, 2861, 6504, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 338339, 3567, 3489, 3488, 6358, 5468, 85363, 1846",181,1.369522265
GO:0035556~intracellular signal transduction,34,0.096698994,"22976, 51738, 8575, 5286, 3486, 1000, 8493, 5618, 3936, 1512, 117584, 355, 3479, 2861, 55423, 6504, 11123, 5617, 7132, 9212, 22925, 7037, 5972, 7412, 2660, 338339, 3567, 3489, 3488, 375033, 6358, 5468, 85363, 1846",181,1.285905242
GO:0031325~positive regulation of cellular metabolic process,42,0.098539985,"22976, 51738, 5286, 6871, 3486, 28514, 1000, 3164, 5618, 10613, 332, 1512, 355, 3479, 10418, 336, 2861, 84787, 50674, 6504, 718, 4869, 5617, 7132, 9212, 7037, 92370, 2660, 1075, 182, 26228, 5806, 1401, 3567, 3489, 1388, 2277, 1001, 6358, 5468, 8536, 85363",181,1.238744239
GO:0043410~positive regulation of MAPK cascade,9,0.102229658,"51738, 3479, 3489, 2861, 1000, 3486, 6358, 6504, 85363",181,1.895289156
GO:0010646~regulation of cell communication,42,0.11325217,"51738, 8575, 3486, 28514, 1000, 5618, 3958, 332, 56975, 1512, 117584, 83999, 355, 3479, 57048, 2861, 5996, 6504, 718, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 1388, 3488, 146722, 1001, 6358, 5468, 85363, 1846",181,1.223868489
GO:0023051~regulation of signaling,42,0.126327374,"51738, 8575, 3486, 28514, 1000, 5618, 3958, 332, 56975, 1512, 117584, 83999, 355, 3479, 57048, 2861, 5996, 6504, 718, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 1388, 3488, 146722, 1001, 6358, 5468, 85363, 1846",181,1.211960579
GO:0009893~positive regulation of metabolic process,44,0.129769489,"22976, 51738, 5286, 6871, 3486, 28514, 1000, 3164, 5618, 10613, 332, 1512, 355, 3479, 10418, 336, 2861, 84787, 50674, 6504, 718, 4869, 5617, 7132, 9212, 7037, 92370, 2660, 1075, 182, 26228, 5806, 1401, 3567, 3929, 3489, 1388, 2277, 1001, 6358, 5468, 8536, 947, 85363",181,1.201173627
GO:0010604~positive regulation of macromolecule metabolic process,40,0.161357554,"22976, 51738, 6871, 3486, 28514, 1000, 3164, 5618, 10613, 332, 1512, 355, 3479, 10418, 2861, 84787, 50674, 6504, 718, 4869, 5617, 7132, 9212, 7037, 92370, 2660, 1075, 182, 26228, 1401, 3567, 3489, 1388, 2277, 1001, 6358, 5468, 8536, 947, 85363",181,1.191939222
GO:0009968~negative regulation of signal transduction,17,0.246130114,"28514, 1000, 3486, 2660, 26228, 3958, 117584, 83999, 3479, 3489, 1388, 3488, 146722, 5996, 5468, 6504, 1846",181,1.281818678
GO:0010648~negative regulation of cell communication,18,0.254489343,"51738, 28514, 1000, 3486, 2660, 26228, 3958, 117584, 83999, 3479, 3489, 1388, 3488, 146722, 5996, 5468, 6504, 1846",181,1.260211937
GO:0023057~negative regulation of signaling,18,0.258770169,"51738, 28514, 1000, 3486, 2660, 26228, 3958, 117584, 83999, 3479, 3489, 1388, 3488, 146722, 5996, 5468, 6504, 1846",181,1.256093598
GO:0006464~cellular protein modification process,39,0.481248973,"22976, 51738, 8575, 6871, 3486, 1000, 8493, 5618, 3958, 332, 56975, 1512, 117584, 355, 3479, 336, 2861, 84787, 6504, 718, 4869, 7132, 285362, 9212, 7037, 5972, 2683, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 10164, 8536, 902, 85363, 1846",181,1.038650605
GO:0036211~protein modification process,39,0.481936186,"22976, 51738, 8575, 6871, 3486, 1000, 8493, 5618, 3958, 332, 56975, 1512, 117584, 355, 3479, 336, 2861, 84787, 6504, 718, 4869, 7132, 285362, 9212, 7037, 5972, 2683, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 10164, 8536, 902, 85363, 1846",181,1.03839159
GO:0001906~cell killing,10,6.81E-04,"3958, 8542, 1512, 567, 733, 966, 735, 1075, 26228, 718",181,4.170623273
GO:0019835~cytolysis,4,0.007953834,"8542, 3929, 733, 735",181,9.7061778
GO:0031640~killing of cells of other organism,4,0.109486211,"3958, 8542, 733, 735",181,3.444127606
GO:0044364~disruption of cells of other organism,4,0.109486211,"3958, 8542, 733, 735",181,3.444127606
GO:0080135~regulation of cellular response to stress,13,0.082055771,"22976, 22925, 10516, 355, 83999, 3489, 1388, 2861, 567, 84787, 6504, 947, 4869",181,1.692662714
GO:0033554~cellular response to stress,20,0.587565255,"22976, 7132, 8575, 22925, 8493, 10613, 10516, 84417, 355, 83999, 3489, 1388, 2861, 567, 84787, 5468, 6504, 947, 1824, 4869",181,1.017807014
GO:0050900~leukocyte migration,13,4.36E-04,"7412, 2683, 2660, 26228, 3958, 140596, 3929, 2277, 10164, 6358, 6504, 5657, 947",181,3.418678388
GO:0097529~myeloid leukocyte migration,10,4.70E-04,"3958, 140596, 3929, 2277, 2683, 2660, 6358, 6504, 5657, 26228",181,4.393743037
GO:1905517~macrophage migration,5,0.002512208,"3958, 2683, 2660, 6504, 26228",181,8.751471787
GO:0060326~cell chemotaxis,10,0.003944098,"3958, 140596, 3929, 7412, 2277, 2660, 6358, 6504, 3164, 26228",181,3.225618
GO:0048246~macrophage chemotaxis,4,0.005677776,"3958, 2660, 6504, 26228",181,10.95055957
GO:0030595~leukocyte chemotaxis,8,0.008733072,"3958, 140596, 3929, 2277, 2660, 6358, 6504, 26228",181,3.444127606
GO:0071674~mononuclear cell migration,5,0.015257395,"3958, 140596, 2660, 6358, 6504",181,5.233723324
GO:0002687~positive regulation of leukocyte migration,6,0.016293562,"3958, 3929, 2277, 2660, 10164, 6504",181,4.054479334
GO:0097530~granulocyte migration,6,0.016696957,"3958, 3929, 2660, 6358, 6504, 5657",181,4.028979464
GO:0050920~regulation of chemotaxis,7,0.023429427,"3929, 2277, 2660, 6504, 57715, 26228, 10501",181,3.166846147
GO:0002685~regulation of leukocyte migration,7,0.024263362,"3958, 3929, 2277, 2660, 10164, 6504, 26228",181,3.140233994
GO:0010758~regulation of macrophage chemotaxis,3,0.029709884,"2660, 6504, 26228",181,11.04496094
GO:0002688~regulation of leukocyte chemotaxis,5,0.034266434,"3929, 2277, 2660, 6504, 26228",181,4.075112817
GO:0071621~granulocyte chemotaxis,5,0.035924005,"3958, 3929, 2660, 6358, 6504",181,4.013832925
GO:0032103~positive regulation of response to external stimulus,8,0.06493001,"7132, 51738, 3929, 2277, 2660, 6504, 9173, 718",181,2.253677167
GO:0002690~positive regulation of leukocyte chemotaxis,4,0.065223142,"3929, 2277, 2660, 6504",181,4.3138568
GO:1905521~regulation of macrophage migration,3,0.068396789,"2660, 6504, 26228",181,6.963127552
GO:0071622~regulation of granulocyte chemotaxis,3,0.087354747,"3929, 2660, 6504",181,6.043469196
GO:0071675~regulation of mononuclear cell migration,3,0.098809243,"3958, 2660, 6504",181,5.619366095
GO:1990266~neutrophil migration,4,0.121477422,"3958, 3929, 6358, 5657",181,3.285167871
GO:0002548~monocyte chemotaxis,3,0.144912628,"3958, 140596, 6358",181,4.448664825
GO:0050921~positive regulation of chemotaxis,4,0.162319899,"3929, 2277, 2660, 6504",181,2.866253847
GO:0030593~neutrophil chemotaxis,3,0.252627772,"3958, 3929, 6358",181,3.079844879
GO:0048514~blood vessel morphogenesis,17,0.001107546,"22976, 4162, 51738, 5286, 28514, 1000, 2683, 182, 3164, 1512, 80781, 2277, 5468, 4327, 947, 718, 5617",181,2.534993364
GO:0001525~angiogenesis,15,0.002111853,"4162, 51738, 5286, 28514, 2683, 182, 3164, 1512, 80781, 2277, 5468, 4327, 947, 718, 5617",181,2.574789931
GO:0001568~blood vessel development,17,0.00371867,"22976, 4162, 51738, 5286, 28514, 1000, 2683, 182, 3164, 1512, 80781, 2277, 5468, 4327, 947, 718, 5617",181,2.246355506
GO:0072358~cardiovascular system development,17,0.006275432,"22976, 4162, 51738, 5286, 28514, 1000, 2683, 182, 3164, 1512, 80781, 2277, 5468, 4327, 947, 718, 5617",181,2.125357434
GO:0001944~vasculature development,17,0.006275432,"22976, 4162, 51738, 5286, 28514, 1000, 2683, 182, 3164, 1512, 80781, 2277, 5468, 4327, 947, 718, 5617",181,2.125357434
GO:0045766~positive regulation of angiogenesis,7,0.015841491,"51738, 1512, 5286, 2277, 28514, 947, 718",181,3.460072642
GO:0072359~circulatory system development,20,0.024172648,"22976, 7132, 4162, 51738, 5286, 7412, 28514, 1000, 2683, 182, 3164, 1512, 80781, 3479, 2277, 5468, 4327, 947, 718, 5617",181,1.708287293
GO:1904018~positive regulation of vasculature development,7,0.026509244,"51738, 1512, 5286, 2277, 28514, 947, 718",181,3.075620126
GO:0048646~anatomical structure formation involved in morphogenesis,20,0.027872054,"4162, 51738, 5286, 28514, 2683, 182, 3164, 1512, 56975, 84957, 80781, 2277, 3909, 5468, 8536, 4327, 947, 718, 1846, 5617",181,1.681385131
GO:0045765~regulation of angiogenesis,9,0.036302733,"51738, 1512, 5286, 2277, 28514, 5468, 947, 718, 5617",181,2.37262124
GO:0001935~endothelial cell proliferation,6,0.040937118,"51738, 2277, 5468, 3164, 947, 5617",181,3.17132542
