GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0010038~response to metal ion,3,0.868145691,"7037, 567, 7412",181,0.851871988,"['TFRC', 'B2M', 'VCAM1']"
GO:0019730~antimicrobial humoral response,9,0.000174,"3958, 10406, 5068, 567, 6039, 5657, 149708, 5968, 6590",181,5.75396169,"['LGALS3', 'WFDC2', 'REG3A', 'B2M', 'RNASE6', 'PRTN3', 'WFDC5', 'REG1B', 'SLPI']"
GO:0019731~antibacterial humoral response,5,0.006356233,"10406, 567, 6039, 149708, 6590",181,6.757465557,"['WFDC2', 'B2M', 'RNASE6', 'WFDC5', 'SLPI']"
GO:0042742~defense response to bacterium,10,0.017158387,"7132, 338339, 10406, 1401, 140596, 3929, 567, 6039, 149708, 6590",181,2.542094186,"['TNFRSF1A', 'CLEC4D', 'WFDC2', 'CRP', 'DEFB104A', 'LBP', 'B2M', 'RNASE6', 'WFDC5', 'SLPI']"
GO:0050830~defense response to Gram-positive bacterium,5,0.033454763,"1401, 140596, 3929, 567, 6039",181,4.106459839,"['CRP', 'DEFB104A', 'LBP', 'B2M', 'RNASE6']"
GO:0050829~defense response to Gram-negative bacterium,4,0.065223142,"140596, 3929, 567, 6039",181,4.3138568,"['DEFB104A', 'LBP', 'B2M', 'RNASE6']"
GO:1905155~positive regulation of membrane invagination,3,0.007294192,"5468, 26228, 718",181,22.87884767,"['PPARG', 'STAP1', 'C3']"
"GO:0060100~positive regulation of phagocytosis, engulfment",3,0.007294192,"5468, 26228, 718",181,22.87884767,"['PPARG', 'STAP1', 'C3']"
"GO:0060099~regulation of phagocytosis, engulfment",3,0.009502022,"5468, 26228, 718",181,20.01899171,"['PPARG', 'STAP1', 'C3']"
GO:1905153~regulation of membrane invagination,3,0.009502022,"5468, 26228, 718",181,20.01899171,"['PPARG', 'STAP1', 'C3']"
GO:0099024~plasma membrane invagination,4,0.180111568,"9212, 5468, 26228, 718",181,2.720202696,"['AURKB', 'PPARG', 'STAP1', 'C3']"
GO:0010324~membrane invagination,4,0.196114984,"9212, 5468, 26228, 718",181,2.604096483,"['AURKB', 'PPARG', 'STAP1', 'C3']"
"GO:0006911~phagocytosis, engulfment",3,0.399352621,"5468, 26228, 718",181,2.16421532,"['PPARG', 'STAP1', 'C3']"
GO:0001934~positive regulation of protein phosphorylation,22,0.000371,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.37262124,"['TNFRSF1A', 'AURKB', 'GHRL', 'TFRC', 'CDH2', 'IGFBP3', 'MSTN', 'STAP1', 'PRLR', 'BIRC5', 'FAS', 'IL5', 'IGF1', 'IGFBP6', 'GPR37', 'VEGFD', 'CCL14', 'PPARG', 'SLAMF1', 'CAMK1', 'TRIM5', 'C3']"
GO:0042327~positive regulation of phosphorylation,22,0.000964,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.203466255,"['TNFRSF1A', 'AURKB', 'GHRL', 'TFRC', 'CDH2', 'IGFBP3', 'MSTN', 'STAP1', 'PRLR', 'BIRC5', 'FAS', 'IL5', 'IGF1', 'IGFBP6', 'GPR37', 'VEGFD', 'CCL14', 'PPARG', 'SLAMF1', 'CAMK1', 'TRIM5', 'C3']"
GO:0007166~cell surface receptor signaling pathway,45,0.000984,"51738, 5286, 5069, 3486, 28514, 1000, 5618, 3958, 2886, 117584, 83999, 355, 1675, 151888, 3479, 51267, 27189, 10990, 6504, 718, 343413, 5617, 7132, 7032, 2660, 182, 26228, 9173, 338339, 3567, 3929, 3489, 2675, 3488, 3909, 146722, 2277, 1001, 966, 6358, 5468, 925, 5648, 57715, 10501",181,1.614977483,"['GHRL', 'PIK3C2A', 'PAPPA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'LGALS3', 'GRB7', 'RFFL', 'KREMEN1', 'FAS', 'CFD', 'BTLA', 'IGF1', 'CLEC1A', 'IL17C', 'LILRB5', 'SLAMF1', 'C3', 'FCRL6', 'PRL', 'TNFRSF1A', 'TFF2', 'MSTN', 'JAG1', 'STAP1', 'IL1RL1', 'CLEC4D', 'IL5', 'LBP', 'IGFBP6', 'GFRA2', 'IGFBP5', 'LAMA3', 'CD300LF', 'VEGFD', 'CDH3', 'CD59', 'CCL14', 'PPARG', 'CD8A', 'MASP1', 'SEMA4G', 'SEMA6B']"
GO:0009967~positive regulation of signal transduction,30,0.001165744,"51738, 8575, 3486, 28514, 1000, 5618, 1512, 355, 3479, 2861, 6504, 718, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 338339, 3567, 3929, 3489, 3488, 146722, 1001, 6358, 5468, 85363",181,1.870933805,"['GHRL', 'PRKRA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'CTSH', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'PRL', 'TNFRSF1A', 'PLA2R1', 'TFRC', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CLEC4D', 'IL5', 'LBP', 'IGFBP6', 'IGFBP5', 'CD300LF', 'CDH3', 'CCL14', 'PPARG', 'TRIM5']"
GO:0001932~regulation of protein phosphorylation,27,0.001199856,"51738, 6871, 3486, 1000, 5618, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.957050106,"['GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'BIRC5', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0031401~positive regulation of protein modification process,24,0.001631729,"22976, 7132, 9212, 51738, 7037, 6871, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.022439573,"['PAXIP1', 'TNFRSF1A', 'AURKB', 'GHRL', 'TFRC', 'TADA2A', 'CDH2', 'IGFBP3', 'MSTN', 'STAP1', 'PRLR', 'BIRC5', 'FAS', 'IL5', 'IGF1', 'IGFBP6', 'GPR37', 'VEGFD', 'CCL14', 'PPARG', 'SLAMF1', 'CAMK1', 'TRIM5', 'C3']"
GO:0010647~positive regulation of cell communication,31,0.002902009,"51738, 8575, 3486, 28514, 1000, 5618, 1512, 355, 3479, 2861, 6504, 718, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 3488, 146722, 1001, 6358, 5468, 85363",181,1.738343818,"['GHRL', 'PRKRA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'CTSH', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'PRL', 'TNFRSF1A', 'PLA2R1', 'TFRC', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CLEC4D', 'ECRG4', 'IL5', 'LBP', 'IGFBP6', 'IGFBP5', 'CD300LF', 'CDH3', 'CCL14', 'PPARG', 'TRIM5']"
GO:0045937~positive regulation of phosphate metabolic process,22,0.00295573,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.009319955,"['TNFRSF1A', 'AURKB', 'GHRL', 'TFRC', 'CDH2', 'IGFBP3', 'MSTN', 'STAP1', 'PRLR', 'BIRC5', 'FAS', 'IL5', 'IGF1', 'IGFBP6', 'GPR37', 'VEGFD', 'CCL14', 'PPARG', 'SLAMF1', 'CAMK1', 'TRIM5', 'C3']"
GO:0010562~positive regulation of phosphorus metabolic process,22,0.00295573,"7132, 9212, 51738, 7037, 1000, 3486, 2660, 26228, 5618, 332, 355, 3567, 3479, 3489, 2861, 2277, 6358, 5468, 6504, 8536, 85363, 718",181,2.009319955,"['TNFRSF1A', 'AURKB', 'GHRL', 'TFRC', 'CDH2', 'IGFBP3', 'MSTN', 'STAP1', 'PRLR', 'BIRC5', 'FAS', 'IL5', 'IGF1', 'IGFBP6', 'GPR37', 'VEGFD', 'CCL14', 'PPARG', 'SLAMF1', 'CAMK1', 'TRIM5', 'C3']"
GO:0023056~positive regulation of signaling,31,0.003040595,"51738, 8575, 3486, 28514, 1000, 5618, 1512, 355, 3479, 2861, 6504, 718, 5617, 7132, 22925, 7037, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 3488, 146722, 1001, 6358, 5468, 85363",181,1.732883052,"['GHRL', 'PRKRA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'CTSH', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'PRL', 'TNFRSF1A', 'PLA2R1', 'TFRC', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CLEC4D', 'ECRG4', 'IL5', 'LBP', 'IGFBP6', 'IGFBP5', 'CD300LF', 'CDH3', 'CCL14', 'PPARG', 'TRIM5']"
GO:0032270~positive regulation of cellular protein metabolic process,28,0.003309702,"22976, 51738, 6871, 3486, 1000, 5618, 332, 1512, 355, 3479, 10418, 2861, 6504, 718, 4869, 7132, 9212, 7037, 2660, 1075, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 85363",181,1.792267843,"['PAXIP1', 'GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'BIRC5', 'CTSH', 'FAS', 'IGF1', 'SPON1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'MSTN', 'CTSC', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'TRIM5']"
GO:0051247~positive regulation of protein metabolic process,29,0.003707558,"22976, 51738, 6871, 3486, 1000, 5618, 332, 1512, 355, 3479, 10418, 2861, 6504, 718, 4869, 7132, 9212, 7037, 92370, 2660, 1075, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 85363",181,1.753267677,"['PAXIP1', 'GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'BIRC5', 'CTSH', 'FAS', 'IGF1', 'SPON1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'PXYLP1', 'MSTN', 'CTSC', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'TRIM5']"
GO:0042325~regulation of phosphorylation,27,0.004246188,"51738, 6871, 3486, 1000, 5618, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.784975112,"['GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'BIRC5', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0051174~regulation of phosphorus metabolic process,29,0.004858946,"51738, 6871, 3486, 1000, 5618, 3958, 332, 56975, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.719195291,"['GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'LGALS3', 'BIRC5', 'FAM20C', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0019220~regulation of phosphate metabolic process,28,0.008771774,"51738, 6871, 3486, 1000, 5618, 3958, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.664533832,"['GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'LGALS3', 'BIRC5', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0016310~phosphorylation,34,0.011872111,"51738, 8575, 5286, 6871, 3486, 1000, 5618, 332, 56975, 1512, 355, 3479, 2026, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 83440, 6358, 5468, 8536, 4710, 902, 85363, 1846",181,1.528467578,"['GHRL', 'PRKRA', 'PIK3C2A', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'BIRC5', 'FAM20C', 'CTSH', 'FAS', 'IGF1', 'ENO2', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'ADPGK', 'CCL14', 'PPARG', 'CAMK1', 'NDUFB4', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0031399~regulation of protein modification process,29,0.012020813,"22976, 51738, 6871, 3486, 1000, 5618, 3958, 332, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.604285346,"['PAXIP1', 'GHRL', 'TADA2A', 'IGFBP3', 'CDH2', 'PRLR', 'LGALS3', 'BIRC5', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0006468~protein phosphorylation,29,0.014467705,"51738, 8575, 3486, 1000, 5618, 332, 56975, 1512, 355, 3479, 2861, 6504, 718, 4869, 7132, 9212, 7037, 5972, 2660, 26228, 3567, 3489, 2277, 6358, 5468, 8536, 902, 85363, 1846",181,1.580536354,"['GHRL', 'PRKRA', 'IGFBP3', 'CDH2', 'PRLR', 'BIRC5', 'FAM20C', 'CTSH', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFRC', 'REN', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'CCL14', 'PPARG', 'CAMK1', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0070887~cellular response to chemical stimulus,42,0.018642631,"51738, 8575, 5286, 28514, 3164, 1082, 5618, 3958, 56975, 10516, 1512, 117584, 355, 3479, 140596, 57048, 2861, 10990, 6504, 4869, 7132, 4360, 7032, 7035, 22925, 7037, 5972, 7412, 2660, 26228, 9173, 3567, 3929, 1388, 3488, 567, 28960, 146722, 2277, 6358, 5468, 947",181,1.400454136,"['GHRL', 'PRKRA', 'PIK3C2A', 'DLL1', 'NR4A1', 'CGB3', 'PRLR', 'LGALS3', 'FAM20C', 'FBLN5', 'CTSH', 'RFFL', 'FAS', 'IGF1', 'DEFB104A', 'PLSCR3', 'GPR37', 'LILRB5', 'SLAMF1', 'NPM1', 'TNFRSF1A', 'MRC1', 'TFF2', 'TFPI', 'PLA2R1', 'TFRC', 'REN', 'VCAM1', 'MSTN', 'STAP1', 'IL1RL1', 'IL5', 'LBP', 'ATF6B', 'IGFBP5', 'B2M', 'DCPS', 'CD300LF', 'VEGFD', 'CCL14', 'PPARG', 'CD34']"
GO:1902533~positive regulation of intracellular signal transduction,18,0.032526195,"7132, 51738, 8575, 22925, 7037, 1000, 3486, 5618, 338339, 3567, 3479, 3489, 3488, 2861, 6358, 6504, 85363, 5617",181,1.715913575,"['TNFRSF1A', 'GHRL', 'PRKRA', 'PLA2R1', 'TFRC', 'CDH2', 'IGFBP3', 'PRLR', 'CLEC4D', 'IL5', 'IGF1', 'IGFBP6', 'IGFBP5', 'GPR37', 'CCL14', 'SLAMF1', 'TRIM5', 'PRL']"
GO:0006796~phosphate-containing compound metabolic process,41,0.033929406,"9388, 51738, 8575, 5286, 6871, 3486, 1000, 8493, 5618, 3958, 332, 56975, 1512, 355, 3479, 2026, 336, 57048, 2861, 6504, 718, 4869, 7132, 9212, 9551, 7037, 5972, 92370, 2660, 26228, 3567, 3489, 2277, 83440, 6358, 5468, 8536, 4710, 902, 85363, 1846",181,1.351910497,"['LIPG', 'GHRL', 'PRKRA', 'PIK3C2A', 'TADA2A', 'IGFBP3', 'CDH2', 'PPM1D', 'PRLR', 'LGALS3', 'BIRC5', 'FAM20C', 'CTSH', 'FAS', 'IGF1', 'ENO2', 'APOA2', 'PLSCR3', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'ATP5MF', 'TFRC', 'REN', 'PXYLP1', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'ADPGK', 'CCL14', 'PPARG', 'CAMK1', 'NDUFB4', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0043408~regulation of MAPK cascade,13,0.03978666,"51738, 5972, 1000, 3486, 355, 3479, 3489, 2861, 6358, 5468, 6504, 85363, 1846",181,1.909193157,"['GHRL', 'REN', 'CDH2', 'IGFBP3', 'FAS', 'IGF1', 'IGFBP6', 'GPR37', 'CCL14', 'PPARG', 'SLAMF1', 'TRIM5', 'DUSP4']"
GO:0006793~phosphorus metabolic process,41,0.049230179,"9388, 51738, 8575, 5286, 6871, 3486, 1000, 8493, 5618, 3958, 332, 56975, 1512, 355, 3479, 2026, 336, 57048, 2861, 6504, 718, 4869, 7132, 9212, 9551, 7037, 5972, 92370, 2660, 26228, 3567, 3489, 2277, 83440, 6358, 5468, 8536, 4710, 902, 85363, 1846",181,1.315350417,"['LIPG', 'GHRL', 'PRKRA', 'PIK3C2A', 'TADA2A', 'IGFBP3', 'CDH2', 'PPM1D', 'PRLR', 'LGALS3', 'BIRC5', 'FAM20C', 'CTSH', 'FAS', 'IGF1', 'ENO2', 'APOA2', 'PLSCR3', 'GPR37', 'SLAMF1', 'C3', 'NPM1', 'TNFRSF1A', 'AURKB', 'ATP5MF', 'TFRC', 'REN', 'PXYLP1', 'MSTN', 'STAP1', 'IL5', 'IGFBP6', 'VEGFD', 'ADPGK', 'CCL14', 'PPARG', 'CAMK1', 'NDUFB4', 'CCNH', 'TRIM5', 'DUSP4']"
GO:0009966~regulation of signal transduction,40,0.052707176,"51738, 8575, 3486, 28514, 1000, 5618, 3958, 56975, 1512, 117584, 83999, 355, 3479, 57048, 2861, 5996, 6504, 718, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 1075, 182, 26228, 338339, 3567, 3929, 3489, 1388, 3488, 146722, 1001, 6358, 5468, 85363, 1846",181,1.314876303,"['GHRL', 'PRKRA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'LGALS3', 'FAM20C', 'CTSH', 'RFFL', 'KREMEN1', 'FAS', 'IGF1', 'PLSCR3', 'GPR37', 'RGS1', 'SLAMF1', 'C3', 'PRL', 'TNFRSF1A', 'AURKB', 'PLA2R1', 'TFRC', 'REN', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CLEC4D', 'IL5', 'LBP', 'IGFBP6', 'ATF6B', 'IGFBP5', 'CD300LF', 'CDH3', 'CCL14', 'PPARG', 'TRIM5', 'DUSP4']"
GO:0000165~MAPK cascade,13,0.091437562,"51738, 1000, 3486, 1512, 355, 3479, 3489, 2861, 6358, 5468, 6504, 85363, 1846",181,1.660267255,"['GHRL', 'CDH2', 'IGFBP3', 'CTSH', 'FAS', 'IGF1', 'IGFBP6', 'GPR37', 'CCL14', 'PPARG', 'SLAMF1', 'TRIM5', 'DUSP4']"
GO:0023014~signal transduction by protein phosphorylation,13,0.091437562,"51738, 1000, 3486, 1512, 355, 3479, 3489, 2861, 6358, 5468, 6504, 85363, 1846",181,1.660267255,"['GHRL', 'CDH2', 'IGFBP3', 'CTSH', 'FAS', 'IGF1', 'IGFBP6', 'GPR37', 'CCL14', 'PPARG', 'SLAMF1', 'TRIM5', 'DUSP4']"
GO:1902531~regulation of intracellular signal transduction,25,0.095227622,"51738, 8575, 3486, 1000, 5618, 117584, 355, 3479, 2861, 6504, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 338339, 3567, 3489, 3488, 6358, 5468, 85363, 1846",181,1.369522265,"['GHRL', 'PRKRA', 'IGFBP3', 'CDH2', 'PRLR', 'RFFL', 'FAS', 'IGF1', 'GPR37', 'SLAMF1', 'PRL', 'TNFRSF1A', 'AURKB', 'PLA2R1', 'TFRC', 'REN', 'MSTN', 'CLEC4D', 'IL5', 'IGFBP6', 'IGFBP5', 'CCL14', 'PPARG', 'TRIM5', 'DUSP4']"
GO:0035556~intracellular signal transduction,34,0.096698994,"22976, 51738, 8575, 5286, 3486, 1000, 8493, 5618, 3936, 1512, 117584, 355, 3479, 2861, 55423, 6504, 11123, 5617, 7132, 9212, 22925, 7037, 5972, 7412, 2660, 338339, 3567, 3489, 3488, 375033, 6358, 5468, 85363, 1846",181,1.285905242,"['PAXIP1', 'GHRL', 'PRKRA', 'PIK3C2A', 'IGFBP3', 'CDH2', 'PPM1D', 'PRLR', 'LCP1', 'CTSH', 'RFFL', 'FAS', 'IGF1', 'GPR37', 'SIRPG', 'SLAMF1', 'RCAN3', 'PRL', 'TNFRSF1A', 'AURKB', 'PLA2R1', 'TFRC', 'REN', 'VCAM1', 'MSTN', 'CLEC4D', 'IL5', 'IGFBP6', 'IGFBP5', 'PEAR1', 'CCL14', 'PPARG', 'TRIM5', 'DUSP4']"
GO:0031325~positive regulation of cellular metabolic process,42,0.098539985,"22976, 51738, 5286, 6871, 3486, 28514, 1000, 3164, 5618, 10613, 332, 1512, 355, 3479, 10418, 336, 2861, 84787, 50674, 6504, 718, 4869, 5617, 7132, 9212, 7037, 92370, 2660, 1075, 182, 26228, 5806, 1401, 3567, 3489, 1388, 2277, 1001, 6358, 5468, 8536, 85363",181,1.238744239,"['PAXIP1', 'GHRL', 'PIK3C2A', 'TADA2A', 'IGFBP3', 'DLL1', 'CDH2', 'NR4A1', 'PRLR', 'ERLIN1', 'BIRC5', 'CTSH', 'FAS', 'IGF1', 'SPON1', 'APOA2', 'GPR37', 'KMT5C', 'NEUROG3', 'SLAMF1', 'C3', 'NPM1', 'PRL', 'TNFRSF1A', 'AURKB', 'TFRC', 'PXYLP1', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'PTX3', 'CRP', 'IL5', 'IGFBP6', 'ATF6B', 'VEGFD', 'CDH3', 'CCL14', 'PPARG', 'CAMK1', 'TRIM5']"
GO:0043410~positive regulation of MAPK cascade,9,0.102229658,"51738, 3479, 3489, 2861, 1000, 3486, 6358, 6504, 85363",181,1.895289156,"['GHRL', 'IGF1', 'IGFBP6', 'GPR37', 'CDH2', 'IGFBP3', 'CCL14', 'SLAMF1', 'TRIM5']"
GO:0010646~regulation of cell communication,42,0.11325217,"51738, 8575, 3486, 28514, 1000, 5618, 3958, 332, 56975, 1512, 117584, 83999, 355, 3479, 57048, 2861, 5996, 6504, 718, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 1388, 3488, 146722, 1001, 6358, 5468, 85363, 1846",181,1.223868489,"['GHRL', 'PRKRA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'LGALS3', 'BIRC5', 'FAM20C', 'CTSH', 'RFFL', 'KREMEN1', 'FAS', 'IGF1', 'PLSCR3', 'GPR37', 'RGS1', 'SLAMF1', 'C3', 'PRL', 'TNFRSF1A', 'AURKB', 'PLA2R1', 'TFRC', 'REN', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CLEC4D', 'ECRG4', 'IL5', 'LBP', 'IGFBP6', 'ATF6B', 'IGFBP5', 'CD300LF', 'CDH3', 'CCL14', 'PPARG', 'TRIM5', 'DUSP4']"
GO:0023051~regulation of signaling,42,0.126327374,"51738, 8575, 3486, 28514, 1000, 5618, 3958, 332, 56975, 1512, 117584, 83999, 355, 3479, 57048, 2861, 5996, 6504, 718, 5617, 7132, 9212, 22925, 7037, 5972, 2660, 1075, 182, 26228, 338339, 84417, 3567, 3929, 3489, 1388, 3488, 146722, 1001, 6358, 5468, 85363, 1846",181,1.211960579,"['GHRL', 'PRKRA', 'IGFBP3', 'DLL1', 'CDH2', 'PRLR', 'LGALS3', 'BIRC5', 'FAM20C', 'CTSH', 'RFFL', 'KREMEN1', 'FAS', 'IGF1', 'PLSCR3', 'GPR37', 'RGS1', 'SLAMF1', 'C3', 'PRL', 'TNFRSF1A', 'AURKB', 'PLA2R1', 'TFRC', 'REN', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CLEC4D', 'ECRG4', 'IL5', 'LBP', 'IGFBP6', 'ATF6B', 'IGFBP5', 'CD300LF', 'CDH3', 'CCL14', 'PPARG', 'TRIM5', 'DUSP4']"
GO:0009893~positive regulation of metabolic process,44,0.129769489,"22976, 51738, 5286, 6871, 3486, 28514, 1000, 3164, 5618, 10613, 332, 1512, 355, 3479, 10418, 336, 2861, 84787, 50674, 6504, 718, 4869, 5617, 7132, 9212, 7037, 92370, 2660, 1075, 182, 26228, 5806, 1401, 3567, 3929, 3489, 1388, 2277, 1001, 6358, 5468, 8536, 947, 85363",181,1.201173627,"['PAXIP1', 'GHRL', 'PIK3C2A', 'TADA2A', 'IGFBP3', 'DLL1', 'CDH2', 'NR4A1', 'PRLR', 'ERLIN1', 'BIRC5', 'CTSH', 'FAS', 'IGF1', 'SPON1', 'APOA2', 'GPR37', 'KMT5C', 'NEUROG3', 'SLAMF1', 'C3', 'NPM1', 'PRL', 'TNFRSF1A', 'AURKB', 'TFRC', 'PXYLP1', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'PTX3', 'CRP', 'IL5', 'LBP', 'IGFBP6', 'ATF6B', 'VEGFD', 'CDH3', 'CCL14', 'PPARG', 'CAMK1', 'CD34', 'TRIM5']"
GO:0010604~positive regulation of macromolecule metabolic process,40,0.161357554,"22976, 51738, 6871, 3486, 28514, 1000, 3164, 5618, 10613, 332, 1512, 355, 3479, 10418, 2861, 84787, 50674, 6504, 718, 4869, 5617, 7132, 9212, 7037, 92370, 2660, 1075, 182, 26228, 1401, 3567, 3489, 1388, 2277, 1001, 6358, 5468, 8536, 947, 85363",181,1.191939222,"['PAXIP1', 'GHRL', 'TADA2A', 'IGFBP3', 'DLL1', 'CDH2', 'NR4A1', 'PRLR', 'ERLIN1', 'BIRC5', 'CTSH', 'FAS', 'IGF1', 'SPON1', 'GPR37', 'KMT5C', 'NEUROG3', 'SLAMF1', 'C3', 'NPM1', 'PRL', 'TNFRSF1A', 'AURKB', 'TFRC', 'PXYLP1', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'CRP', 'IL5', 'IGFBP6', 'ATF6B', 'VEGFD', 'CDH3', 'CCL14', 'PPARG', 'CAMK1', 'CD34', 'TRIM5']"
