GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0001933~negative regulation of protein phosphorylation,17,0.00163196,"4067, 4089, 59272, 9241, 84959, 124790, 27330, 55364, 79643, 3458, 55022, 10614, 2776, 84313, 867, 207, 11315",304,2.461672761
GO:0006469~negative regulation of protein kinase activity,11,0.001895758,"79643, 3458, 10614, 2776, 84313, 4067, 867, 207, 84959, 124790, 11315",304,3.314027812
GO:0045859~regulation of protein kinase activity,20,0.00599296,"2081, 9146, 6464, 4067, 7424, 116986, 3265, 84959, 124790, 374, 79643, 3458, 10614, 2776, 84313, 1950, 867, 207, 6714, 11315",304,1.989642534
GO:0051248~negative regulation of protein metabolic process,41,0.006170832,"6197, 9125, 8994, 6774, 116986, 3066, 9241, 261726, 84959, 124790, 55364, 3458, 55022, 10614, 135112, 5813, 7375, 4087, 4067, 4089, 5894, 26523, 59272, 83547, 27330, 2932, 79643, 2876, 79444, 2776, 84313, 1487, 51377, 192669, 207, 867, 5524, 6714, 2539, 11315, 10049",304,1.534942425
GO:0032269~negative regulation of cellular protein metabolic process,39,0.008565782,"6197, 9125, 8994, 6774, 3066, 9241, 261726, 84959, 124790, 55364, 3458, 55022, 10614, 135112, 5813, 7375, 4087, 4067, 4089, 5894, 26523, 59272, 27330, 2932, 79643, 2876, 79444, 2776, 84313, 1487, 51377, 192669, 207, 867, 5524, 6714, 2539, 11315, 10049",304,1.525657895
GO:0016192~vesicle-mediated transport,47,9.29E-05,"9146, 64130, 9265, 5584, 8774, 8775, 3265, 81609, 3561, 9261, 375, 4905, 3458, 1950, 1455, 29886, 27243, 7337, 53944, 9218, 5579, 10015, 5878, 8906, 27183, 30844, 9179, 9135, 3190, 4067, 9910, 114876, 59272, 161, 163, 83547, 2932, 79643, 84313, 1487, 51411, 4830, 867, 10981, 8877, 6714, 7409",304,1.809658819
GO:0006897~endocytosis,27,5.01E-04,"9146, 3265, 3561, 9261, 375, 3458, 1950, 1455, 7337, 53944, 5878, 8906, 30844, 9135, 3190, 4067, 9910, 59272, 161, 163, 1487, 51411, 4830, 867, 8877, 6714, 7409",304,2.105969487
GO:0060627~regulation of vesicle-mediated transport,20,0.002038268,"9146, 3190, 4067, 8775, 3561, 163, 2932, 375, 4905, 3458, 1950, 27243, 867, 5579, 8877, 5878, 10015, 27183, 6714, 30844",304,2.199622109
GO:0007005~mitochondrion organization,30,5.39E-08,"9049, 93974, 9361, 203245, 572, 55288, 117145, 55022, 10935, 51204, 815, 87178, 10971, 2648, 7332, 9997, 55072, 22885, 81858, 3329, 2932, 51571, 2876, 3028, 2730, 1267, 207, 10981, 4712, 11315",304,3.248845602
GO:0090559~regulation of membrane permeability,11,7.68E-07,"572, 203245, 2932, 83700, 55288, 117145, 1267, 93974, 10015, 815, 10971",304,8.324522243
GO:0008637~apoptotic mitochondrial changes,12,2.14E-06,"3329, 572, 203245, 2932, 55288, 117145, 2876, 2730, 93974, 207, 815, 10971",304,6.576111615
GO:0046902~regulation of mitochondrial membrane permeability,9,1.21E-05,"572, 203245, 2932, 55288, 117145, 1267, 93974, 815, 10971",304,8.291618993
GO:0010821~regulation of mitochondrion organization,14,1.47E-05,"7332, 93974, 55072, 22885, 572, 2932, 55288, 51571, 2876, 55022, 207, 5910, 10971, 11315",304,4.517599519
GO:0006839~mitochondrial transport,17,3.36E-05,"7332, 9049, 93974, 55072, 22885, 3329, 203245, 572, 2932, 55288, 117145, 1267, 221154, 4712, 815, 87178, 10971",304,3.486046265
GO:1902108~regulation of mitochondrial membrane permeability involved in apoptotic process,7,2.15E-04,"203245, 2932, 55288, 117145, 93974, 815, 10971",304,8.090610048
GO:0007006~mitochondrial membrane organization,9,0.001260227,"572, 203245, 2932, 55288, 117145, 1267, 93974, 815, 10971",304,4.269565004
GO:1905710~positive regulation of membrane permeability,5,0.012948648,"2932, 83700, 55288, 93974, 10971",304,5.480093013
GO:0097345~mitochondrial outer membrane permeabilization,4,0.027938388,"2932, 55288, 93974, 10971",304,6.054197995
GO:1901030~positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,3,0.031775283,"2932, 93974, 10971",304,10.59484649
GO:1902110~positive regulation of mitochondrial membrane permeability involved in apoptotic process,4,0.039326807,"2932, 55288, 93974, 10971",304,5.297423246
GO:1902686~mitochondrial outer membrane permeabilization involved in programmed cell death,4,0.043570704,"2932, 55288, 93974, 10971",304,5.085526316
GO:0035794~positive regulation of mitochondrial membrane permeability,4,0.050345697,"2932, 55288, 93974, 10971",304,4.797666336
GO:2001235~positive regulation of apoptotic signaling pathway,7,0.069083969,"572, 2932, 6498, 93974, 5601, 10971, 11315",304,2.431604113
GO:1901028~regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,3,0.094206266,"2932, 93974, 10971",304,5.779007177
GO:0043065~positive regulation of apoptotic process,20,0.007027124,"6498, 5584, 4067, 4089, 93974, 1490, 3329, 572, 2932, 3458, 10550, 5601, 5524, 815, 3635, 6714, 10971, 959, 11315, 7409",304,1.958985484
GO:0043068~positive regulation of programmed cell death,20,0.008100618,"6498, 5584, 4067, 4089, 93974, 1490, 3329, 572, 2932, 3458, 10550, 5601, 5524, 815, 3635, 6714, 10971, 959, 11315, 7409",304,1.929258845
GO:0010942~positive regulation of cell death,20,0.017989342,"6498, 5584, 4067, 4089, 93974, 1490, 3329, 572, 2932, 3458, 10550, 5601, 5524, 815, 3635, 6714, 10971, 959, 11315, 7409",304,1.778156054
GO:0006790~sulfur compound metabolic process,19,5.82E-05,"9653, 373156, 10380, 9061, 9391, 8050, 441024, 2799, 2876, 445329, 2730, 10539, 54995, 494143, 51027, 10550, 4522, 2539, 11315",304,3.050031566
GO:0006749~glutathione metabolic process,7,7.40E-04,"2876, 373156, 2730, 494143, 10550, 11315, 2539",304,6.449036995
GO:0006575~cellular modified amino acid metabolic process,11,0.00101175,"2876, 373156, 2730, 494143, 60496, 10550, 4522, 11315, 441024, 2539, 10797",304,3.604432311
GO:0042398~cellular modified amino acid biosynthetic process,4,0.027938388,"2730, 494143, 4522, 11315",304,6.054197995
GO:0071822~protein complex subunit organization,43,6.00E-05,"10273, 8775, 9361, 572, 375, 55364, 4905, 3458, 84246, 1311, 57026, 27243, 119, 51204, 5910, 10015, 87178, 27183, 30844, 84262, 140609, 4087, 9997, 4089, 5894, 3251, 1072, 163, 3329, 80772, 2932, 83700, 79643, 51571, 3028, 11034, 51411, 5601, 55856, 4712, 56648, 6714, 11315",304,1.91285542
GO:0043933~macromolecular complex subunit organization,58,8.67E-05,"8774, 8775, 55364, 84246, 57026, 27243, 119, 51204, 3831, 10015, 1615, 140609, 7375, 9997, 26523, 3251, 1072, 163, 3329, 83700, 79643, 51571, 51377, 11034, 51411, 55856, 6714, 10465, 11315, 10273, 8994, 9361, 572, 375, 4905, 3458, 1311, 5910, 8669, 10078, 3931, 87178, 27183, 30844, 84262, 4087, 4089, 5894, 55192, 80772, 2932, 3028, 192669, 5687, 5601, 51119, 4712, 56648",304,1.678964745
GO:0044087~regulation of cellular component biogenesis,35,1.69E-04,"9146, 8396, 5781, 10273, 8775, 3265, 375, 55364, 1017, 3458, 3337, 84246, 27243, 119, 3931, 10015, 27183, 10611, 2648, 140609, 4089, 5894, 1809, 59272, 1490, 80772, 2932, 83700, 79643, 51571, 5601, 8877, 6714, 11315, 10049",304,1.991869081
GO:0070271~protein complex biogenesis,37,2.78E-04,"10273, 8775, 9361, 572, 375, 55364, 3458, 84246, 1311, 27243, 119, 51204, 5910, 10015, 87178, 30844, 84262, 140609, 4087, 9997, 4089, 5894, 3251, 163, 3329, 80772, 2932, 83700, 79643, 51571, 3028, 51411, 5601, 55856, 4712, 6714, 11315",304,1.893764832
GO:0006461~protein complex assembly,37,2.78E-04,"10273, 8775, 9361, 572, 375, 55364, 3458, 84246, 1311, 27243, 119, 51204, 5910, 10015, 87178, 30844, 84262, 140609, 4087, 9997, 4089, 5894, 3251, 163, 3329, 80772, 2932, 83700, 79643, 51571, 3028, 51411, 5601, 55856, 4712, 6714, 11315",304,1.893764832
GO:0022607~cellular component assembly,75,7.03E-04,"9146, 8774, 8775, 80124, 55364, 1017, 84246, 10539, 57026, 27243, 119, 51204, 10015, 1615, 140609, 7375, 9997, 9391, 26523, 3251, 22885, 163, 3329, 83547, 83700, 79643, 51571, 84313, 1465, 51411, 55856, 10981, 6714, 10465, 11315, 8396, 137886, 10273, 8994, 23386, 3265, 9361, 572, 375, 3458, 3337, 1311, 51027, 5910, 8669, 10078, 87178, 27183, 9519, 30844, 84262, 2648, 9179, 4087, 4089, 5894, 1809, 59272, 1490, 9493, 80772, 2932, 3028, 1487, 192669, 5687, 5601, 51119, 4712, 10049",304,1.44212974
GO:0044085~cellular component biogenesis,80,8.68E-04,"9146, 5781, 8774, 8775, 80124, 55364, 1017, 84246, 10539, 57026, 27243, 119, 51204, 10015, 1615, 10611, 140609, 7375, 9997, 9391, 26523, 3251, 22885, 163, 3329, 83547, 83700, 79643, 51571, 84313, 1465, 51411, 55856, 10981, 5702, 6714, 10465, 11315, 8396, 137886, 10273, 8994, 23386, 3265, 9361, 572, 375, 3458, 3337, 1311, 51027, 5910, 8669, 10078, 3931, 87178, 27183, 9519, 30844, 84262, 2648, 9179, 4087, 4089, 5894, 1809, 59272, 1490, 9493, 80772, 2932, 3028, 1487, 192669, 5687, 8877, 5601, 51119, 4712, 10049",304,1.408733051
GO:0065003~macromolecular complex assembly,48,0.001334442,"8774, 10273, 8994, 8775, 9361, 572, 375, 55364, 3458, 84246, 1311, 27243, 119, 51204, 5910, 8669, 10078, 10015, 87178, 1615, 30844, 84262, 140609, 7375, 4087, 9997, 4089, 5894, 26523, 3251, 163, 3329, 80772, 2932, 83700, 79643, 51571, 3028, 192669, 5687, 51411, 5601, 55856, 4712, 51119, 10465, 6714, 11315",304,1.592544775
GO:0043254~regulation of protein complex assembly,17,0.011813656,"140609, 5781, 10273, 5894, 8775, 80772, 2932, 83700, 375, 55364, 51571, 3458, 84246, 119, 5601, 6714, 11315",304,1.997549616
GO:0043623~cellular protein complex assembly,19,0.042837694,"140609, 4087, 9997, 4089, 10273, 8775, 163, 9361, 3329, 80772, 375, 51571, 27243, 119, 51204, 5910, 4712, 6714, 84262",304,1.638822931
GO:0034622~cellular macromolecular complex assembly,28,0.126479217,"10273, 8994, 8775, 9361, 375, 84246, 27243, 119, 51204, 5910, 8669, 10078, 84262, 140609, 7375, 4087, 9997, 4089, 26523, 163, 3329, 80772, 51571, 192669, 5687, 4712, 51119, 6714",304,1.303981107
GO:0033554~cellular response to stress,53,5.66E-04,"6197, 5781, 9943, 23326, 9261, 80124, 55364, 1017, 10935, 5810, 318, 2081, 4141, 26608, 4067, 9874, 3329, 27330, 2876, 79444, 51377, 207, 6714, 11315, 6498, 10273, 93974, 3265, 3066, 261726, 9361, 572, 573, 3337, 10550, 135112, 87178, 54936, 10314, 2648, 4361, 3190, 23236, 1490, 2932, 23197, 5687, 867, 8877, 5601, 6778, 2539, 10049",304,1.60589189
GO:0080134~regulation of response to stress,44,0.001458112,"6197, 22978, 5781, 6498, 6774, 3265, 84959, 23326, 9261, 572, 573, 3458, 3337, 10614, 10550, 135112, 87178, 10314, 2648, 2081, 85480, 3190, 4067, 55072, 23236, 59272, 1490, 81858, 3329, 2932, 2876, 79444, 2776, 51377, 5588, 5687, 207, 5601, 8877, 6714, 11315, 2814, 10049, 7409",304,1.629976383
GO:0080135~regulation of cellular response to stress,25,0.002597225,"6498, 3265, 23326, 9261, 572, 573, 3337, 10550, 135112, 87178, 10314, 2648, 2081, 3190, 4067, 23236, 1490, 2932, 2876, 79444, 51377, 207, 8877, 11315, 10049",304,1.938081675
GO:0061024~membrane organization,38,1.66E-05,"9146, 5584, 137886, 8774, 8775, 93974, 203245, 572, 80124, 375, 55288, 117145, 4905, 3458, 55022, 27243, 10550, 9218, 5579, 10015, 26092, 815, 10971, 27183, 30844, 9135, 59272, 83547, 2932, 79643, 84313, 1267, 56904, 207, 51411, 7329, 8877, 10204",304,2.145315275
GO:0044802~single-organism membrane organization,29,3.56E-04,"9146, 5584, 137886, 93974, 203245, 572, 80124, 55288, 117145, 4905, 3458, 55022, 27243, 10550, 5579, 26092, 815, 10971, 27183, 30844, 2932, 79643, 84313, 1267, 207, 51411, 7329, 8877, 10204",304,2.080703487
GO:0010256~endomembrane system organization,23,0.00865745,"9146, 5584, 137886, 83547, 80124, 4905, 79643, 3458, 55022, 84313, 79666, 27243, 10550, 207, 51411, 7329, 5579, 26092, 10015, 27183, 9519, 30844, 10204",304,1.811758136
GO:0007009~plasma membrane organization,11,0.118972474,"4905, 79643, 3458, 55022, 5584, 27243, 10550, 51411, 207, 27183, 30844",304,1.689033499
GO:0009116~nucleoside metabolic process,12,7.56E-06,"132, 1503, 2987, 22978, 51251, 4860, 4830, 8833, 5634, 5635, 3251, 5636",304,5.779007177
GO:1901657~glycosyl compound metabolic process,12,4.87E-05,"132, 1503, 2987, 22978, 51251, 4860, 4830, 8833, 5634, 5635, 3251, 5636",304,4.738067996
GO:0009119~ribonucleoside metabolic process,9,4.10E-04,"132, 1503, 2987, 22978, 51251, 4860, 4830, 8833, 3251",304,5.063023987
GO:0009394~2'-deoxyribonucleotide metabolic process,6,5.42E-04,"1635, 132, 2987, 22978, 4860, 9519",304,8.870104039
GO:0009262~deoxyribonucleotide metabolic process,6,6.03E-04,"1635, 132, 2987, 22978, 4860, 9519",304,8.668510766
GO:0019692~deoxyribose phosphate metabolic process,6,6.70E-04,"1635, 132, 2987, 22978, 4860, 9519",304,8.475877193
GO:0042455~ribonucleoside biosynthetic process,6,7.42E-04,"132, 1503, 4860, 4830, 8833, 3251",304,8.291618993
GO:0046037~GMP metabolic process,5,7.82E-04,"132, 2987, 22978, 8833, 3251",304,11.77205166
GO:0009163~nucleoside biosynthetic process,6,0.001193688,"132, 1503, 4860, 4830, 8833, 3251",304,7.47871517
GO:0046385~deoxyribose phosphate biosynthetic process,4,0.001222029,"1635, 132, 2987, 9519",304,18.16259398
GO:0009263~deoxyribonucleotide biosynthetic process,4,0.001222029,"1635, 132, 2987, 9519",304,18.16259398
GO:0009265~2'-deoxyribonucleotide biosynthetic process,4,0.001222029,"1635, 132, 2987, 9519",304,18.16259398
GO:0046129~purine ribonucleoside biosynthetic process,5,0.001507093,"132, 4860, 4830, 8833, 3251",304,9.932668586
GO:0042451~purine nucleoside biosynthetic process,5,0.001507093,"132, 4860, 4830, 8833, 3251",304,9.932668586
GO:0046128~purine ribonucleoside metabolic process,7,0.001824988,"132, 2987, 22978, 4860, 4830, 8833, 3251",304,5.426628691
GO:0009151~purine deoxyribonucleotide metabolic process,4,0.00183689,"132, 2987, 22978, 4860",304,15.89226974
GO:1901659~glycosyl compound biosynthetic process,6,0.001971431,"132, 1503, 4860, 4830, 8833, 3251",304,6.691481994
GO:1901068~guanosine-containing compound metabolic process,6,0.002130197,"132, 2987, 22978, 4830, 8833, 3251",304,6.576111615
GO:0042278~purine nucleoside metabolic process,7,0.002326284,"132, 2987, 22978, 4860, 4830, 8833, 3251",304,5.174227356
GO:1901070~guanosine-containing compound biosynthetic process,4,0.006052358,"132, 4830, 8833, 3251",304,10.59484649
GO:0006166~purine ribonucleoside salvage,3,0.008202045,"132, 4860, 3251",304,21.18969298
GO:0009112~nucleobase metabolic process,4,0.017250335,"132, 1503, 8833, 3251",304,7.265037594
GO:0006177~GMP biosynthetic process,3,0.019690478,"132, 8833, 3251",304,13.62194549
GO:0043174~nucleoside salvage,3,0.028535281,"132, 4860, 3251",304,11.21807276
GO:0046112~nucleobase biosynthetic process,3,0.035152389,"1503, 8833, 3251",304,10.03722299
GO:0006144~purine nucleobase metabolic process,3,0.038661535,"132, 8833, 3251",304,9.535361842
GO:0009162~deoxyribonucleoside monophosphate metabolic process,3,0.046056302,"1635, 22978, 4860",304,8.668510766
GO:0009057~macromolecule catabolic process,46,1.45E-06,"9146, 9125, 137886, 6233, 10273, 93974, 116986, 23326, 9361, 3182, 4905, 1017, 3458, 1950, 127018, 27243, 7337, 11101, 1915, 10015, 87178, 27183, 2081, 7332, 7375, 4089, 26523, 81858, 83547, 2932, 79643, 2799, 2876, 29952, 84313, 23197, 51377, 192669, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.154884032
GO:0030163~protein catabolic process,39,1.92E-06,"9146, 137886, 6233, 10273, 93974, 116986, 23326, 9361, 4905, 1017, 3458, 1950, 127018, 27243, 7337, 11101, 1915, 10015, 27183, 7332, 7375, 4089, 81858, 83547, 2932, 79643, 2876, 29952, 84313, 23197, 51377, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.327881764
GO:0043632~modification-dependent macromolecule catabolic process,29,1.21E-05,"9146, 137886, 6233, 10273, 23326, 9361, 1017, 1950, 27243, 7337, 11101, 87178, 27183, 7332, 7375, 81858, 2932, 79643, 84313, 23197, 51377, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.535767936
GO:0051603~proteolysis involved in cellular protein catabolic process,31,1.23E-05,"9146, 137886, 6233, 10273, 93974, 23326, 9361, 1017, 1950, 27243, 7337, 11101, 10015, 27183, 7332, 7375, 81858, 2932, 79643, 2876, 84313, 23197, 51377, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.432890676
GO:0044265~cellular macromolecule catabolic process,38,1.43E-05,"9146, 9125, 137886, 6233, 10273, 93974, 23326, 9361, 3182, 1017, 1950, 27243, 7337, 11101, 10015, 87178, 27183, 2081, 7332, 7375, 26523, 81858, 2932, 79643, 2876, 29952, 84313, 23197, 51377, 192669, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.160666369
GO:0044257~cellular protein catabolic process,32,1.75E-05,"9146, 137886, 6233, 10273, 93974, 23326, 9361, 1017, 1950, 27243, 7337, 11101, 10015, 27183, 7332, 7375, 81858, 2932, 79643, 2876, 29952, 84313, 23197, 51377, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.346263583
GO:0042176~regulation of protein catabolic process,21,1.80E-05,"9146, 4089, 10273, 93974, 116986, 83547, 2932, 4905, 1017, 79643, 2876, 3458, 1950, 51377, 7337, 207, 5601, 1915, 5702, 11059, 11315",304,3.083026924
GO:0019941~modification-dependent protein catabolic process,28,2.44E-05,"9146, 137886, 6233, 10273, 23326, 9361, 1017, 1950, 27243, 7337, 11101, 27183, 7332, 7375, 81858, 2932, 79643, 84313, 23197, 51377, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.489418476
GO:0006508~proteolysis,52,4.57E-05,"6197, 9146, 6233, 23326, 80124, 1017, 115201, 27243, 3633, 11101, 10015, 7332, 7375, 4067, 3329, 79643, 2876, 79444, 29952, 84313, 51377, 5588, 207, 7329, 5702, 6714, 11315, 137886, 10273, 93974, 6774, 3066, 9361, 572, 3458, 1950, 1311, 10550, 7337, 27183, 2648, 5894, 59272, 1490, 81858, 2932, 23197, 5687, 867, 5601, 11059, 10049",304,1.79067828
GO:0006914~autophagy,23,6.11E-05,"2081, 9146, 9179, 8396, 137886, 10273, 6774, 93974, 55072, 572, 80772, 2932, 310, 79643, 3458, 84313, 115201, 27243, 207, 1915, 27183, 6714, 11315",304,2.658343301
GO:0006511~ubiquitin-dependent protein catabolic process,26,1.33E-04,"9146, 137886, 10273, 23326, 1017, 1950, 27243, 7337, 11101, 27183, 7332, 7375, 81858, 2932, 79643, 84313, 23197, 51377, 5687, 207, 867, 7329, 5601, 5702, 11059, 11315",304,2.344391564
GO:0030162~regulation of proteolysis,26,3.58E-04,"6197, 10273, 93974, 6774, 3066, 572, 1017, 3458, 1950, 10550, 7337, 3633, 4067, 5894, 1490, 3329, 2932, 2876, 79444, 51377, 207, 5601, 5702, 6714, 11315, 10049",304,2.197867091
GO:1903050~regulation of proteolysis involved in cellular protein catabolic process,12,8.88E-04,"2932, 1017, 2876, 1950, 10273, 51377, 93974, 7337, 207, 5601, 5702, 11315",304,3.390350877
GO:0009894~regulation of catabolic process,29,9.36E-04,"9146, 8396, 10273, 93974, 6774, 116986, 3182, 572, 4905, 1017, 3458, 1950, 7337, 1915, 87178, 2081, 4089, 55072, 83547, 80772, 2932, 79643, 2876, 51377, 207, 5601, 5702, 11059, 11315",304,1.954934559
GO:0051098~regulation of binding,16,0.001234195,"4087, 129531, 4089, 10273, 3066, 9241, 84959, 2932, 3458, 1950, 2035, 207, 119, 4830, 6714, 11315",304,2.628178975
GO:1903362~regulation of cellular protein catabolic process,12,0.002888581,"2932, 1017, 2876, 1950, 10273, 51377, 93974, 7337, 207, 5601, 5702, 11315",304,2.922716273
GO:1903322~positive regulation of protein modification by small protein conjugation or removal,9,0.0045956,"2932, 7332, 79444, 1950, 10273, 7337, 7329, 5601, 8877",304,3.467404306
GO:0043393~regulation of protein binding,10,0.006063215,"2932, 129531, 10273, 2035, 119, 207, 9241, 84959, 6714, 11315",304,3.027098997
GO:0045732~positive regulation of protein catabolic process,11,0.006828316,"83547, 2932, 4905, 3458, 1950, 10273, 93974, 207, 5601, 5702, 11059",304,2.763872998
GO:1903320~regulation of protein modification by small protein conjugation or removal,12,0.007466711,"2932, 7332, 79444, 7375, 1950, 10273, 7337, 207, 7329, 5601, 8877, 11315",304,2.568447634
GO:0031396~regulation of protein ubiquitination,11,0.007605894,"2932, 7332, 79444, 7375, 1950, 10273, 7337, 207, 5601, 8877, 11315",304,2.720855519
GO:0031398~positive regulation of protein ubiquitination,8,0.007993467,"2932, 7332, 79444, 1950, 10273, 7337, 5601, 8877",304,3.507259528
GO:0061136~regulation of proteasomal protein catabolic process,9,0.009826156,"2932, 1017, 2876, 10273, 51377, 207, 5601, 5702, 11315",304,3.043200588
GO:0031329~regulation of cellular catabolic process,22,0.010458063,"2081, 8396, 10273, 6774, 93974, 55072, 3182, 572, 80772, 2932, 1017, 2876, 3458, 1950, 51377, 7337, 207, 5601, 1915, 5702, 87178, 11315",304,1.809210526
GO:0009896~positive regulation of catabolic process,16,0.013052267,"8396, 10273, 93974, 55072, 83547, 572, 2932, 4905, 3458, 1950, 207, 5601, 5702, 87178, 11059, 11315",304,2.030150226
GO:0032446~protein modification by small protein conjugation,25,0.013734158,"22978, 6233, 10273, 57161, 23326, 80124, 55585, 1950, 84246, 7337, 7332, 7375, 55072, 81858, 5905, 2932, 79444, 5687, 207, 867, 7329, 5601, 8877, 11059, 11315",304,1.685288413
GO:1903052~positive regulation of proteolysis involved in cellular protein catabolic process,7,0.01731242,"2932, 1950, 10273, 93974, 207, 5601, 5702",304,3.396821012
GO:0016567~protein ubiquitination,23,0.018334454,"22978, 7332, 7375, 6233, 10273, 55072, 81858, 57161, 23326, 80124, 55585, 2932, 79444, 1950, 84246, 5687, 867, 7337, 207, 5601, 8877, 11059, 11315",304,1.688324268
GO:0032091~negative regulation of protein binding,6,0.019080752,"2932, 129531, 10273, 207, 9241, 11315",304,3.891984425
GO:0000209~protein polyubiquitination,11,0.020117212,"55585, 22978, 7332, 10273, 55072, 5687, 867, 7337, 11059, 81858, 57161",304,2.338661767
GO:0070647~protein modification by small protein conjugation or removal,27,0.024063908,"22978, 6233, 10273, 57161, 23326, 80124, 55585, 1950, 84246, 7337, 2648, 7332, 7375, 55072, 81858, 5905, 2932, 79444, 51377, 5687, 207, 867, 7329, 5601, 8877, 11059, 11315",304,1.563174072
GO:0032434~regulation of proteasomal ubiquitin-dependent protein catabolic process,7,0.024627941,"2932, 1017, 10273, 51377, 207, 5601, 11315",304,3.13368699
GO:0031331~positive regulation of cellular catabolic process,13,0.03246247,"8396, 10273, 93974, 55072, 572, 2932, 3458, 1950, 207, 5601, 5702, 87178, 11315",304,1.981769847
GO:1903364~positive regulation of cellular protein catabolic process,7,0.034692428,"2932, 1950, 10273, 93974, 207, 5601, 5702",304,2.889503589
GO:0010506~regulation of autophagy,12,0.039251859,"2081, 572, 2932, 80772, 8396, 3458, 6774, 93974, 55072, 207, 1915, 11315",304,1.996934417
GO:0051100~negative regulation of binding,7,0.049555432,"2932, 129531, 10273, 207, 3066, 9241, 11315",304,2.648711623
GO:0010498~proteasomal protein catabolic process,14,0.057175579,"137886, 10273, 81858, 2932, 1017, 51377, 23197, 5687, 207, 5601, 11101, 5702, 11059, 11315",304,1.758828271
GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,13,0.061767962,"137886, 10273, 81858, 2932, 1017, 51377, 23197, 5687, 207, 5601, 5702, 11059, 11315",304,1.784876947
GO:1901800~positive regulation of proteasomal protein catabolic process,5,0.099645307,"2932, 10273, 207, 5601, 5702",304,2.83790531
GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,4,0.187181194,"2932, 10273, 207, 5601",304,2.676592798
GO:0007173~epidermal growth factor receptor signaling pathway,11,7.73E-06,"374, 9125, 79643, 5781, 84313, 1950, 6464, 867, 207, 6714, 2549",304,6.474628411
GO:0038127~ERBB signaling pathway,12,8.13E-06,"374, 9125, 79643, 5781, 84313, 1950, 6464, 10273, 867, 207, 6714, 2549",304,5.735555995
GO:0050730~regulation of peptidyl-tyrosine phosphorylation,15,6.10E-05,"85480, 5781, 6464, 4067, 3066, 9361, 282618, 374, 79643, 3458, 84313, 1950, 867, 6714, 30844",304,3.695876683
GO:0007176~regulation of epidermal growth factor-activated receptor activity,6,9.47E-05,"374, 79643, 84313, 1950, 6464, 867",304,12.71381579
GO:0010469~regulation of receptor activity,12,2.23E-04,"374, 3190, 79643, 3458, 84313, 1950, 6464, 867, 3066, 59272, 6714, 11315",304,3.993868834
GO:0018108~peptidyl-tyrosine phosphorylation,14,8.23E-04,"85480, 5781, 6464, 4067, 3066, 282618, 374, 79643, 3458, 84313, 1950, 867, 6714, 30844",304,3.016837645
GO:0018212~peptidyl-tyrosine modification,14,9.03E-04,"85480, 5781, 6464, 4067, 3066, 282618, 374, 79643, 3458, 84313, 1950, 867, 6714, 30844",304,2.986466796
GO:0061097~regulation of protein tyrosine kinase activity,7,0.001506339,"374, 79643, 84313, 1950, 6464, 867, 6714",304,5.632703198
GO:0042058~regulation of epidermal growth factor receptor signaling pathway,7,0.001824988,"374, 9125, 79643, 84313, 1950, 6464, 867",304,5.426628691
GO:1901184~regulation of ERBB signaling pathway,7,0.002466374,"374, 9125, 79643, 84313, 1950, 6464, 867",304,5.114753479
GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,4,0.014712744,"374, 79643, 84313, 867",304,7.705342903
GO:1901185~negative regulation of ERBB signaling pathway,4,0.018604869,"374, 79643, 84313, 867",304,7.063230994
GO:0007175~negative regulation of epidermal growth factor-activated receptor activity,3,0.019690478,"79643, 84313, 867",304,13.62194549
GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,4,0.026239222,"374, 9125, 1950, 867",304,6.201861361
GO:1901186~positive regulation of ERBB signaling pathway,4,0.029694755,"374, 9125, 1950, 867",304,5.913402693
GO:2000272~negative regulation of receptor activity,4,0.050345697,"79643, 84313, 867, 59272",304,4.797666336
GO:0061099~negative regulation of protein tyrosine kinase activity,3,0.070920077,"79643, 84313, 867",304,6.810972744
GO:0050732~negative regulation of peptidyl-tyrosine phosphorylation,3,0.207537511,"79643, 84313, 867",304,3.531615497
"GO:0044403~symbiosis, encompassing mutualism through parasitism",28,2.95E-04,"22978, 2194, 282618, 375, 3458, 10614, 27243, 9218, 1915, 10015, 27183, 5450, 59272, 1072, 3329, 2932, 79643, 2876, 51251, 1487, 3445, 207, 867, 3841, 5702, 10465, 11059, 6714",304,2.141918424
