Proteins,Target name,EntrezGeneID,Uniprot,EntrezGeneIDString
HSP.70_14237.1,HSP 70,3303,P0DMV8,3303
SNX7_14245.195,SNX7,51375,Q9UNH6,51375
DOK2_14246.50,DOK2,9046,O60496,9046
TRIM1_14249.68,TRIM1,11043,Q9UJV3,11043
BLMH_14250.115,BLMH,642,Q13867,642
PTN4_14254.27,PTN4,5775,P29074,5775
ARHG8_14260.112,ARHG8,10276,Q7Z628,10276
SRXN1_14268.4,SRXN1,140809,Q9BYN0,140809
RAB6B_14271.23,RAB6B,51560,Q9NRW1,51560
PPCE_14273.19,PPCE,5550,P48147,5550
RAB14_14283.12,RAB14,51552,P61106,51552
E2AK4_14284.23,E2AK4,440275,Q9P2K8,440275
NF.ATc1_14286.2,NF-ATc1,4772,O95644,4772
RAB5C_14287.6,RAB5C,5878,P51148,5878
AGAP2_14291.53,AGAP2,116986,Q99490,116986
MBD1_14294.61,MBD1,4152,Q9UIS9,4152
HNRH1_14309.8,HNRH1,3187,P31943,3187
PPIL2_14314.6,PPIL2,23759,Q13356,23759
VPS29_14318.1,VPS29,51699,Q9UBQ0,51699
CSPG6_14324.52,CSPG6,9126,Q9UQE7,9126
UB2E1_14326.4,UB2E1,7324,P51965,7324
DIDO1_14329.4,DIDO1,11083,Q9BTC0,11083
DYLT1_14331.262,DYLT1,6993,P63172,6993
RALA_14332.3,RALA,5898,P11233,5898
RECO_14334.3,RECO,5957,P35243,5957
TPPC3_14337.1,TPPC3,27095,O43617,27095
FA69C_14341.8,FA69C,125704,Q0P6D2,125704
Myostatin_14583.49,Myostatin,2660,O14793,2660
GDF.11_14587.16,GDF-11,10220,O95390,10220
F210A_14593.152,F210A,125228,Q96ND0,125228
SEM6C_14597.5,SEM6C,10500,Q9H3T2,10500
STAB1_14599.18,STAB1,23166,Q9NY15,23166
KIAA0040_14603.51,KIAA0040,9674,Q15053,9674
CA130_14614.41,CA130,400746,Q5T1S8,400746
KRA24_14615.46,KRA24,730755,Q9BYR9,730755
ZN382_14616.16,ZN382,84911,Q96SR6,84911
ECOP_14618.26,ECOP,81552,Q96AW1,81552
ZN526_14619.8,ZN526,116115,Q8TF50,116115
SUMO3_14623.26,SUMO3,6612,P55854,6612
CTCF_14624.51,CTCF,10664,P49711,10664
FBX3_14628.72,FBX3,26273,Q9UK99,26273
DUS16_14631.22,DUS16,80824,Q9BY84,80824
T185A_14633.26,T185A,84548,Q8NFB2,84548
LSHR_14634.13,LSHR,3973,P22888,3973
Ribonuclease.UK114_14636.25,Ribonuclease UK114,10247,P52758,10247
GSTA4_14645.253,GSTA4,2941,O15217,2941
DJC17_14655.1,DJC17,55192,Q9NVM6,55192
MZF1_14662.6,MZF1,7593,P28698,7593
RNF8_14663.44,RNF8,9025,O76064,9025
SKIL_14670.1,SKIL,6498,P12757,6498
PACN3_14674.63,PACN3,29763,Q9UKS6,29763
IF4B_14675.20,IF4B,1975,P23588,1975
CAN2_14684.17,CAN2,824,P17655,824
PKB.beta_14685.17,PKB beta,208,P31751,208
M6PBP_14687.6,M6PBP,10226,O60664,10226
PTN7_14688.6,PTN7,5778,P35236,5778
SEC13_14689.3,SEC13,6396,P55735,6396
ZN276_14692.3,ZN276,92822,Q8N554,92822
TPSB2_14696.45,TPSB2,64499,P20231,64499
EG.VEGF_14703.6,EG-VEGF,84432,P58294,84432
VEGF.D_14705.1,VEGF-D,2277,O43915,2277
CO8G_14708.59,CO8G,733,P07360,733
Cystatin.M_14711.27,Cystatin M,1474,Q15828,1474
Azurocidin_14713.46,Azurocidin,566,P20160,566
CRLF1_14747.9,CRLF1,9244,O75462,9244
RHG05_14748.31,RHG05,394,Q13017,394
Lactoferrin_14755.4,Lactoferrin,4057,P02788,4057
sICAM.2_14756.29,sICAM-2,3384,P13598,3384
FGF.8B_14757.144,FGF-8B,2253,P55075,2253
Cadherin.E_14759.149,Cadherin E,999,P12830,999
IGF.II.Mature_15295.81,IGF-II:Mature,3481,P01344,3481
S100A3_15297.3,S100A3,6274,P33764,6274
NETO1_15298.199,NETO1,81832,Q8TDF5,81832
MESD2_15299.102,MESD2,23184,Q14696,23184
CC134_15300.66,CC134,79879,Q9H6E4,79879
sperm.protein.10_15301.24,sperm protein 10,56,P26436,56
S100A5_15303.63,S100A5,6276,P33763,6276
PAP1_15304.1,PAP1,5068,Q06141,5068
Secretagogin_15305.7,Secretagogin,10590,O76038,10590
IgJ_15306.20,IgJ,3512,P01591,3512
VWC2_15308.108,VWC2,375567,Q2TAL6,375567
PRC1_15310.61,PRC1,9055,O43663,9055
AGO1_15312.14,AGO1,26523,Q9UL18,26523
MD2L1_15313.28,MD2L1,4085,Q13257,4085
CLIC4_15314.49,CLIC4,25932,Q9Y696,25932
CUTC_15315.64,CUTC,51076,Q9NTM9,51076
TXN4B_15316.262,TXN4B,54957,Q9NX01,54957
Calpactin.I.light.chain_15318.75,Calpactin I light chain,6281,P60903,6281
CCNA1_15319.226,CCNA1,8900,P78396,8900
CPLX2_15321.8,CPLX2,10814,Q6PUV4,10814
CRADD_15322.35,CRADD,8738,P78560,8738
AGO3_15323.112,AGO3,192669,Q9H9G7,192669
Ferritin.light.chain_15324.58,Ferritin light chain,2512,P02792,2512
NEUM_15325.14,NEUM,2596,P17677,2596
GBP1_15326.64,GBP1,2633,P32455,2633
MAPIP_15329.167,MAPIP,28956,Q9Y2Q5,28956
RBBP4_15331.47,RBBP4,5928,Q09028,5928
SDF2_15333.11,SDF2,6388,Q99470,6388
SELM_15336.7,SELM,140606,Q8WWX9,140606
COF2_15339.32,COF2,1073,Q9Y281,1073
Kininogen..HMW..Two.Chain_15343.337,"Kininogen, HMW, Two Chain",3827,P01042,3827
IFN.g_15346.31,IFN-g,3458,P01579,3458
Hemopexin_15347.12,Hemopexin,3263,P02790,3263
X7B2_15358.28,7B2,6447,P05408,6447
ANKR1_15361.37,ANKR1,27063,Q15327,27063
Apo.A.V_15363.32,Apo A-V,116519,Q6Q788,116519
Apo.C.I_15364.101,Apo C-I,341,P02654,341
BAI3_15365.41,BAI3,577,O60242,577
LPLC1_15367.38,LPLC1,92747,Q8TDL5,92747
BMPER_15368.3,BMPER,168667,Q8N8U9,168667
BOLA1_15370.5,BOLA1,51027,Q9Y3E2,51027
BRD2_15372.43,BRD2,6046,P25440,6046
CA11.protein_15374.15,CA11 protein,56287,Q9NS71,56287
Carboxypeptidase.B1_15375.49,Carboxypeptidase B1,1360,P15086,1360
CATE_15376.134,CATE,1510,P14091,1510
Discoidin.domain.receptor.2_15381.45,Discoidin domain receptor 2,4921,Q16832,4921
Endothelin.3_15383.200,Endothelin 3,1908,P14138,1908
KLOTHO_15384.15,KLOTHO,9365,Q9UEF7,9365
FABP2_15385.116,FABP2,2169,P12104,2169
FABPA_15386.7,FABPA,2167,P15090,2167
Neuropilin.2_15387.44,Neuropilin-2,8828,O60462,8828
FcRIIIa_15388.24,FcRIIIa,2214,P08637,2214
FRDA_15389.1,FRDA,2395,Q16595,2395
Galanin_15390.3,Galanin,51083,P22466,51083
GAS.6_15391.114,GAS-6,2621,Q14393,2621
UNC5B_15394.79,UNC5B,219699,Q8IZJ1,219699
GST.M1.1_15395.15,GST M1-1,2944,P09488,2944
HERV1_15398.2,HERV1,2671,P55789,2671
ID.1_15402.2,ID-1,3397,P41134,3397
ID2_15403.53,ID2,3398,Q02363,3398
IFN21_15404.3,IFN21,3452,P01568,3452
IFNA4_15405.23,IFNA4,3441,P05014,3441
KIAP_15412.40,KIAP,79444,Q96CA5,79444
LCAT_15413.3,LCAT,3931,P04180,3931
LDHA_15414.316,LDHA,3939,P00338,3939
LYG2_15416.54,LYG2,254773,Q86SG7,254773
Maspin_15417.3,Maspin,5268,P36952,5268
MK10_15418.25,MK10,5602,P53779,5602
MMP20_15419.15,MMP20,9313,O60882,9313
MYP2_15422.12,MYP2,5375,P02689,5375
NEUR1_15426.5,NEUR1,4758,Q99519,4758
LOXL3_15427.35,LOXL3,84695,P58215,84695
OPT_15430.165,OPT,26254,Q9UBM4,26254
OTCase_15431.31,OTCase,5009,P00480,5009
Otoraplin_15432.1,Otoraplin,56914,Q9NRC9,56914
p60.Src_15433.4,p60-Src,6714,P12931,6714
PNOC_15434.5,PNOC,5368,Q13519,5368
PNP_15435.4,PNP,4860,P00491,4860
RAMP1_15436.40,RAMP1,10267,O60894,10267
RAMP3_15437.11,RAMP3,10268,O60896,10268
RND3_15439.21,RND3,390,P61587,390
NEC2_15440.57,NEC2,5126,P16519,5126
SAP3_15441.6,SAP3,2760,P17900,2760
SCCA2_15444.45,SCCA2,6318,P48594,6318
SMDF_15446.25,SMDF,3084,Q02297,3084
Sorbitol.dehydrogenase_15447.45,Sorbitol dehydrogenase,6652,Q00796,6652
SQSTM_15448.47,SQSTM,8878,Q13501,8878
TIM.4_15449.33,TIM-4,91937,Q96H15,91937
X5..Nucleotidase_15452.5,5'-Nucleotidase,4907,P21589,4907
a1.Microglobulin_15453.3,a1-Microglobulin,259,P02760,259
ADA15.ECD_15455.40,ADA15:ECD,8751,Q13444,8751
Aminopeptidase.N_15457.14,Aminopeptidase N,290,P15144,290
CD26_15460.9,CD26,1803,P27487,1803
CD8A_15462.28,CD8A,925,P01732,925
CNPY4_15465.79,CNPY4,245812,Q8N129,245812
CO9A1_15466.30,CO9A1,1297,P20849,1297
CTHR1_15467.10,CTHR1,115908,Q96CG8,115908
FHR1_15468.14,FHR1,3078,Q03591,3078
Hexosaminidase.B_15470.11,Hexosaminidase B,3074,P07686,3074
LIPR2_15471.29,LIPR2,5408,P54317,5408
LRP11_15472.16,LRP11,84918,Q86VZ4,84918
PIN1_15474.7,PIN1,5300,Q13526,5300
PLTP_15475.4,PLTP,5360,P55058,5360
REG3G_15476.6,REG3G,130120,Q6UW15,130120
VNN2_15480.2,VNN2,8875,O95498,8875
LL.37_15481.45,LL-37,820,P49913,820
A2ML1_15482.12,A2ML1,144568,A8K2U0,144568
Agrin_15483.377,Agrin,375790,O00468,375790
ABP1_15486.126,ABP1,26,P19801,26
carboxylesterase..liver_15487.164,"carboxylesterase, liver",1066,P23141,1066
CD248_15491.20,CD248,57124,Q9HCU0,57124
CRIM1.ECD_15492.1,CRIM1:ECD,51232,Q9NZV1,51232
FGFP1_15494.11,FGFP1,9982,Q14512,9982
FOLR3_15495.9,FOLR3,2352,P41439,2352
HS3S1_15497.9,HS3S1,9957,O14792,9957
Attractin_15499.11,Attractin,8455,O75882,8455
Lefty.A_15503.15,Lefty-A,7044,O00292,7044
Lefty.A_15503.20,Lefty-A,7044,O00292,7044
Livin.B_15504.39,Livin B,79444,Q96CA5,79444
LRP12_15506.34,LRP12,29967,Q9Y561,29967
NAG_15509.2,NAG,4669,P54802,4669
NPTXR_15511.37,NPTXR,23467,O95502,23467
Prostasin_15513.108,Prostasin,5652,Q16651,5652
Pseudocholinesterase_15514.26,Pseudocholinesterase,590,P06276,590
SAA_15515.2,SAA,6288,P0DJI8,6288
SAA.4_15516.12,SAA-4,6291,P35542,6291
Alcadein.alpha.1_15521.4,Alcadein alpha-1,22883,O94985,22883
GAPR1_15522.2,GAPR1,152007,Q9H4G4,152007
HEM2_15523.9,HEM2,210,P13716,210
PGAM2_15524.30,PGAM2,5224,P15259,5224
ADH1G_15525.294,ADH1G,126,P00326,126
GSHB_15526.33,GSHB,2937,P48637,2937
DLDH_15527.90,DLDH,1738,P09622,1738
Cysteine.rich.protein.1_15529.33,Cysteine-rich protein 1,1465,P21291,1465
EphB4_15530.33,EphB4,2050,P54760,2050
Macrophage.scavenger.receptor.ECD_15533.97,Macrophage scavenger receptor:ECD,4481,P21757,4481
Malate.dehydrogenase.2_15534.26,Malate dehydrogenase 2,4191,P40926,4191
Marapsin_15535.3,Marapsin,83886,Q9BQR3,83886
SLIK1_15539.15,SLIK1,114798,Q96PX8,114798
Vimentin_15540.6,Vimentin,7431,P08670,7431
KCRU_15542.19,KCRU,1159,P12532,1159
kallikrein.14_15544.25,kallikrein 14,43847,Q9P0G3,43847
Calcineurin.B.a_15545.13,Calcineurin B a,5534,P63098,5534
SERA_15548.35,SERA,26227,O43175,26227
ACES_15553.22,ACES,43,P22303,43
Alpha.amylase.2B_15556.49,Alpha-amylase 2B,280,P19961,280
AMPE_15558.63,AMPE,2028,Q07075,2028
ANTR2_15559.5,ANTR2,118429,P58335,118429
Apo.TC.II_15560.52,Apo-TC II,6948,P20062,6948
BGLR_15562.24,BGLR,2990,P08236,2990
CA125_15565.102,CA125,94025,Q8WXI7,94025
Calponin.1_15566.10,Calponin-1,1264,P51911,1264
CD3.zeta_15567.2,CD3-zeta,919,P20963,919
Collagen.II_15569.15,Collagen II,1280,P02458,1280
Complement.receptor.type.2_15570.99,Complement receptor type 2,1380,P20023,1380
CSPG3_15573.110,CSPG3,1463,O14594,1463
Cyclin.A_15574.37,Cyclin A,890,P20248,890
ECP_15576.158,ECP,6037,P12724,6037
ENPP6_15579.26,ENPP6,133121,Q6UWR7,133121
EPHA7_15580.2,EPHA7,2045,Q15375,2045
FANK1_15581.16,FANK1,92565,Q8TC84,92565
FCN1_15582.25,FCN1,2219,O00602,2219
FCRLB_15583.18,FCRLB,127943,Q6BAA4,127943
FHR2_15584.9,FHR2,3080,P36980,3080
fibulin.5_15585.304,fibulin 5,10516,Q9UBX5,10516
FOLR2_15587.20,FOLR2,2350,P14207,2350
galactosidase..alpha_15588.17,"galactosidase, alpha",2717,P06280,2717
Gc.Globulin..Mixed.Type_15589.1,"Gc-Globulin, Mixed Type",2638,P02774,2638
Glutathione.peroxidase_15591.28,Glutathione peroxidase,2876,P07203,2876
HTRA1_15594.47,HTRA1,5654,Q92743,5654
HEXI1_15596.7,HEXI1,10614,O94992,10614
IL.6.sRa_15602.43,IL-6 sRa,3570,P08887,3570
Integrin.alpha.2_15603.20,Integrin alpha-2,3673,P17301,3673
JNK2_15604.18,JNK2,5601,P45984,5601
Keratin.19_15606.19,Keratin 19,3880,P08727,3880
KPYR_15607.56,KPYR,5313,P30613,5313
KS6B1_15608.5,KS6B1,6198,P23443,6198
LAP_15610.72,LAP,51056,P28838,51056
LIN7B_15612.5,LIN7B,64130,Q9HAP6,64130
LIPP_15613.16,LIPP,5406,P16233,5406
LIRA2_15614.168,LIRA2,11027,Q8N149,11027
LIRB3_15615.8,LIRB3,102725035,O75022,102725035
lymphotactin.beta_15617.8,lymphotactin beta,6846,Q9UBD3,6846
MOG_15619.49,MOG,4340,Q16653,4340
NLGN1_15620.4,NLGN1,22871,Q8N2Q7,22871
OBCAM_15622.13,OBCAM,4978,Q14982,4978
PD.1_15623.1,PD-1,5133,Q15116,5133
Perlecan_15626.223,Perlecan,3339,P98160,3339
PKB_15627.83,PKB,207,P31749,207
PSG1_15631.18,PSG1,5669,P11464,5669
RBP_15633.6,RBP,5950,P02753,5950
SLIT1_15634.139,SLIT1,6585,O75093,6585
SMOC2_15635.4,SMOC2,64094,Q9H3U7,64094
SORC1_15636.49,SORC1,114815,Q8WY21,114815
SORC3_15637.38,SORC3,22986,Q9UPU3,22986
TAGL_15640.54,TAGL,6876,Q01995,6876
TEFF1_15641.20,TEFF1,100526694,Q8IYR6,100526694
Biotinidase_15644.1,Biotinidase,686,P43251,686
COAA1_15653.9,COAA1,1300,Q03692,1300
BMP.2_15666.21,BMP-2,650,P12643,650
BMP.4_15667.39,BMP-4,652,P12644,652
BMP.8_15668.19,BMP-8,656,P34820,656
BRAF1_15669.7,BRAF1,673,P15056,673
C1QL2_15670.15,C1QL2,165257,Q7Z5L3,165257
CD79A_15674.3,CD79A,973,P11912,973
CEBPB_15675.3,CEBPB,1051,P17676,1051
DKK2_15678.71,DKK2,27123,Q9UBU2,27123
INHBC_15686.49,INHBC,3626,P55103,3626
Mannose.binding.lectin_15688.30,Mannose-binding lectin,3998,P49257,3998
NODAL_15692.300,NODAL,4838,Q96S42,4838
PgR_15693.9,PgR,5241,P06401,5241
TXLNA_15698.6,TXLNA,200081,P40222,200081
ALT_16015.19,ALT,2875,P24298,2875
Cadherin.8_16021.30,Cadherin-8,1006,P55286,1006
VEGF.sR3_16035.8,VEGF sR3,2324,P35916,2324
SHC1.PID_16043.30,SHC1:PID,6464,P29353,6464
OLR1_16049.43,OLR1,4973,P78380,4973
complement.factor.H.related.5_16055.3,complement factor H-related 5,81494,Q9BXR6,81494
IGF.II.receptor_16057.6,IGF-II receptor,3482,P11717,3482
NID2_16060.99,NID2,22795,Q14112,22795
WIF.1_16070.7,WIF-1,11197,Q9Y5W5,11197
GRB2.related.adapter.protein.2_16074.12,GRB2-related adapter protein 2,9402,O75791,9402
TEC_16079.2,TEC,7006,P42680,7006
Aldose.reductase.like_16081.38,Aldose reductase-like,57016,O60218,57016
EPHA4_16288.17,EPHA4,2043,P54764,2043
GIP_16292.288,GIP,2695,P09681,2695
Growth.hormone.releasing.factor_16293.1,Growth hormone-releasing factor,2691,P01286,2691
LGR5_16296.43,LGR5,8549,O75473,8549
ROBO4_16297.14,ROBO4,54538,Q8WZ75,54538
sPLA.2..IID_16298.84,sPLA(2)-IID,26279,Q9UNK4,26279
TIGIT_16299.13,TIGIT,201633,Q495A1,201633
TREM2_16300.4,TREM2,54209,Q9NZC2,54209
SPLC2_16302.11,SPLC2,140683,Q96DR5,140683
LGR4_16304.6,LGR4,55366,Q9BXB1,55366
Cadherin.11.ECD_16305.10,Cadherin-11:ECD,1009,P55287,1009
UNC5H4_16307.22,UNC5H4,137970,Q6UXZ4,137970
BTLA_16308.14,BTLA,151888,Q7Z6A9,151888
Soggy.1_16309.30,Soggy-1,27120,Q9UK85,27120
Cadherin.6_16312.45,Cadherin-6,1004,P55285,1004
VEGF.sR1_16315.105,VEGF sR1,2321,P17948,2321
Desmoglein.3_16317.20,Desmoglein-3,1830,P32926,1830
ALK.1_16318.12,ALK-1,94,P37023,94
CD320_16320.139,CD320,51293,Q9NPF0,51293
PACAP_16322.10,PACAP,51237,Q8WU39,51237
NRX3A_16323.8,NRX3A,9369,Q9Y4C0,9369
TLR1.ECD_16324.38,TLR1:ECD,7096,Q15399,7096
HMGA1_16536.3,HMGA1,3159,P17096,3159
STA5B_16551.14,STA5B,6777,P51692,6777
MYOC_16558.2,MYOC,4653,Q99972,4653
Alpha.1B.glycoprotein_16561.9,Alpha-1B-glycoprotein,1,P04217,1
AP4A_16583.8,AP4A,318,P50583,318
B3GN4_16585.16,B3GN4,79369,Q9C0J1,79369
Beta.casein_16587.1,Beta-casein,1447,P05814,1447
BiP_16588.10,BiP,3309,P11021,3309
CHIA_16591.71,CHIA,27159,Q9BZP6,27159
FADD_16593.3,FADD,8772,Q13158,8772
FAIM1_16594.44,FAIM1,55179,Q9NVQ4,55179
GLRX3_16596.25,GLRX3,10539,O76003,10539
GLRX5_16597.11,GLRX5,51218,Q86SX6,51218
GPN1_16599.38,GPN1,11321,Q9HCN4,11321
C1T9A_16605.2,C1T9A,338872,P0C862,338872
Aldose.reductase_16606.85,Aldose reductase,231,P15121,231
Gelsolin_16607.78,Gelsolin,2934,P06396,2934
KIRR2_16609.106,KIRR2,84063,Q6UWL6,84063
LRP10_16610.13,LRP10,26020,Q7Z4F1,26020
SDC3_16612.28,SDC3,9672,O75056,9672
CAD17_16613.3,CAD17,1015,Q12864,1015
RSPO1_16614.27,RSPO1,284654,Q2MKA7,284654
ENOB_16616.137,ENOB,2027,P13929,2027
Caspase.14_16617.14,Caspase-14,23581,P31944,23581
CD69_16618.7,CD69,969,Q07108,969
LY75_16620.26,LY75,100526664,O60449,100526664
AIBP_16621.77,AIBP,128240,Q8NCW5,128240
Activin.B_16746.12,Activin B,3625,P09529,3625
BMP.3_16748.1,BMP-3,651,P12645,651
BMP.3b_16749.79,BMP-3b,2662,P55107,2662
BNP_16751.15,BNP,4879,P16860,4879
CO6A2_16753.46,CO6A2,1292,P12110,1292
CSKP_16754.40,CSKP,8573,O14936,8573
GDF.3_16755.195,GDF-3,9573,Q9NR23,9573
GDF7_16756.30,GDF7,151449,Q7Z4P5,151449
HDGF_16758.96,HDGF,3068,P51858,3068
IL.26_16760.2,IL-26,55801,Q9NPH9,55801
LECT2_16763.11,LECT2,3950,O14960,3950
PBP_16765.52,PBP,5473,P02775,5473
PLAK_16768.3,PLAK,3728,P14923,3728
RAC3_16769.20,RAC3,5881,P60763,5881
REG1B_16770.3,REG1B,5968,P48304,5968
SCUB3_16773.29,SCUB3,222663,Q8IX30,222663
HSP.70_16780.6,HSP 70,3303,P0DMV8,3303
ENASE_16781.2,ENASE,64772,Q8NFI3,64772
HD.5_16785.45,HD-5,1670,Q01523,1670
Siglec.5_16792.4,Siglec-5,8778,O15389,8778
OCAD1_16802.31,OCAD1,54940,Q9NX40,54940
CALB2_16803.4,CALB2,794,P22676,794
PDE5A_16805.5,PDE5A,8654,O76074,8654
TNNT3_16807.35,TNNT3,7140,P45378,7140
NDKM_16809.1,NDKM,4833,O00746,4833
RhoGDI_16810.3,RhoGDI,2664,P31150,2664
SLIM.1_16814.13,SLIM 1,2273,Q13642,2273
CDCP1_16818.200,CDCP1,64866,Q9H5V8,64866
APOL3_16823.75,APOL3,80833,O95236,80833
ATX3_16825.20,ATX3,4287,P54252,4287
Collagen.a1.VI._16828.8,Collagen a1(VI),1291,P12109,1291
DOK1_16831.7,DOK1,1796,Q99704,1796
FHR3_16836.1,FHR3,10878,Q02985,10878
FLIP_16837.20,FLIP,8837,O15519,8837
MPZL1_16845.15,MPZL1,9019,O95297,9019
RAB3B_16847.39,RAB3B,5865,P20337,5865
RGS5_16850.5,RGS5,8490,O15539,8490
SCO2_16851.50,SCO2,9997,O43819,9997
NHRF3_16852.10,NHRF3,5174,Q5T2W1,5174
NRK1_16853.5,NRK1,54981,Q9NWW6,54981
LSM4_16854.17,LSM4,25804,Q9Y4Z0,25804
MARE2_16856.79,MARE2,10982,Q15555,10982
RAB2A_16857.2,RAB2A,5862,P61019,5862
RCN3_16858.384,RCN3,57333,Q96D15,57333
SHLB1_16859.100,SHLB1,51100,Q9Y371,51100
NANP_16863.47,NANP,140838,Q8TBE9,140838
RBP56_16865.62,RBP56,8148,Q92804,8148
PCTK1_16867.76,PCTK1,5127,Q00536,5127
MAAI_16872.248,MAAI,2954,O43708,2954
MGN2_16875.13,MGN2,55110,Q96A72,55110
MSRB2_16877.19,MSRB2,22921,Q9Y3D2,22921
PHP14_16882.27,PHP14,29085,Q9NRX4,29085
RAB4A_16883.57,RAB4A,5867,P20338,5867
MARE3_16885.49,MARE3,22924,Q9UPY8,22924
PTH2_16887.29,PTH2,51651,Q9Y3E5,51651
ATL1_16890.37,ATL1,92949,Q8N6G6,92949
ENPP2_16892.23,ENPP2,5168,Q13822,5168
OSBL9_16899.59,OSBL9,114883,Q96SU4,114883
MDGA1_16900.29,MDGA1,266727,Q8NFP4,266727
LAMP1_16902.17,LAMP1,3916,P11279,3916
Nectin.like.protein.3_16907.3,Nectin-like protein 3,253559,Q8N3J6,253559
OMGP_16908.5,OMGP,4974,P23515,4974
RNT2_16913.8,RNT2,8635,O00584,8635
sCD14_16914.104,sCD14,929,P08571,929
SEM4A_16915.153,SEM4A,64218,Q9H3S1,64218
SLIK6_16916.19,SLIK6,84189,Q9H5Y7,84189
TLR3_16918.198,TLR3,7098,O15455,7098
ACBP_16919.1,ACBP,1622,P07108,1622
PLXB3_16922.53,PLXB3,5365,Q9ULL4,5365
Profilin.II_16923.20,Profilin II,5217,P35080,5217
Alkaline.phosphatase..liver_16926.44,"Alkaline phosphatase, liver",249,P05186,249
Coagulation.factor.XIII_16927.9,Coagulation factor XIII,2162|2165,P00488|P05160,2162|2165
SULT.1E_16932.5,SULT 1E,6783,P49888,6783
Beta.globin_17137.160,Beta-globin,3043,P68871,3043
GST.A1.1_17138.8,GST A1-1,2938,P08263,2938
PDGFD_17140.57,PDGFD,80310,Q9GZP0,80310
S100A8.S100A9_17145.1,S100A8/S100A9,6279|6280,P05109|P06702,6279|6280
BLVRB_17148.7,BLVRB,645,P30043,645
HSP.10_17150.8,HSP 10,3336,P61604,3336
IRF.3_17151.84,IRF-3,3661,Q14653,3661
KI2S4_17152.10,KI2S4,3809,P43632,3809
KI2L3_17153.46,KI2L3,3804,P43628,3804
TEBP_17154.2,TEBP,10728,Q15185,10728
VPS28.protein.homolog_17155.1,VPS28 protein homolog,51160,Q9UK41,51160
DCAK1_17156.72,DCAK1,9201,O15075,9201
UB2G1_17158.17,UB2G1,7326,P62253,7326
OST48_17161.1,OST48,1650,P39656,1650
Annexin.III_17163.117,Annexin III,306,P12429,306
annexin.IV_17164.15,annexin IV,307,P09525,307
BTG_17165.1,BTG,5473,P02775,5473
FGF.8F_17166.4,FGF-8F,2253,P55075,2253
CALCB_17170.15,CALCB,797,P10092,797
STAT_17172.19,STAT,6779,P02808,6779
MP2K6_17175.5,MP2K6,5608,P52564,5608
PSIP1_17176.13,PSIP1,11168,O75475,11168
BAG.1_17195.43,BAG-1,573,Q99933,573
ClpP.endopeptidase_17196.5,ClpP endopeptidase,8192,Q16740,8192
HIF1N_17199.43,HIF1N,55662,Q9NWT6,55662
KI2L1_17200.50,KI2L1,3802,P43626,3802
PDCD4_17202.37,PDCD4,27250,Q53EL6,27250
PNMT_17204.17,PNMT,5409,P11086,5409
RAB5A_17205.21,RAB5A,5868,P20339,5868
ST2B1_17209.27,ST2B1,6820,O00204,6820
TCL1A_17210.2,TCL1A,8115,P56279,8115
MIME_17224.12,MIME,4969,P20774,4969
L.plastin_17231.1,L-plastin,3936,P13796,3936
SELH_17319.1,SELH,280636,Q8IZQ5,280636
ADPPT_17320.19,ADPPT,60496,Q9NRN7,60496
KGUA_17325.10,KGUA,2987,Q16774,2987
DUS23_17326.44,DUS23,54935,Q9BVJ7,54935
CNPY3_17327.3,CNPY3,10695,Q9BT09,10695
BDH2_17329.2,BDH2,56898,Q9BUT1,56898
KREM1_17331.138,KREM1,83999,Q96MU8,83999
ARHL2_17332.3,ARHL2,54936,Q9NX46,54936
ACADM_17333.20,ACADM,34,P11310,34
VAMP2_17335.18,VAMP2,6844,P63027,6844
CR3L2_17336.54,CR3L2,64764,Q70SY1,64764
TYY1_17337.1,TYY1,7528,P25490,7528
THIC_17341.89,THIC,39,Q9BWD1,39
AGR3_17342.13,AGR3,155465,Q8TD06,155465
SNPH_17343.6,SNPH,9751,O15079,9751
STML1_17344.23,STML1,9399,Q9UBI4,9399
ZADH2_17345.12,ZADH2,284273,Q8N4Q0,284273
FDSCP_17346.61,FDSCP,260436,Q8NFU4,260436
CA080_17347.80,CA080,64853,Q96BJ3,64853
SYJ2B_17348.5,SYJ2B,55333,P57105,55333
CHM2B_17350.13,CHM2B,25978,Q9UQN3,25978
SYT4_17355.56,SYT4,6860,Q9H2B2,6860
IL1FA_17356.34,IL1FA,84639,Q8WWZ1,84639
SPCS_17357.33,SPCS,51091,Q9HD40,51091
VHL_17362.5,VHL,7428,P40337,7428
RU2B_17364.8,RU2B,6629,P08579,6629
KAT1_17365.7,KAT1,883,Q16773,883
DCNL1_17366.6,DCNL1,54165,Q96GG9,54165
Stathmin_17367.5,Stathmin,3925,P16949,3925
ABHDA_17370.186,ABHDA,55347,Q9NUJ1,55347
X4EBP1_17372.5,4EBP1,1978,Q13541,1978
Aldose.reductase.like.C3_17377.1,Aldose reductase-like C3,8644,P42330,8644
UBE2K_17380.2,UBE2K,3093,P61086,3093
STAR5_17383.4,STAR5,80765,Q9NSY2,80765
K6PF_17384.110,K6PF,5213,P08237,5213
IKB.beta_17387.27,IKB-beta,4793,Q15653,4793
SPF45_17391.10,SPF45,84991,Q96I25,84991
SCAD_17393.13,SCAD,35,P16219,35
ADH1A_17396.23,ADH1A,124,P07327,124
DHB11_17397.8,DHB11,51170,Q8NBQ5,51170
