Protein,Adjusted_linear_model,linear_modeling_pvalue,adjusted_pvalues,fold_change,coefficient,Target,Entrez,Uniprot
SPSB1_13942.140,~ Study_group + Prednisone,0.005171546,0.999705358,0.215108227,101.5950062,SPSB1,80176,Q96BD6
SPT20_11117.2,~ Study_group + Prednisone + Aspirin,0.006524888,0.999705358,0.350250375,342.4752904,SPT20,64847,Q8TB22
SRAC1_8985.13,~ Study_group + Prednisone + Aspirin,0.001349891,0.999705358,0.412652021,323.5797577,SRAC1,84947,Q96JX3
SRSF7_12987.12,~ Study_group + Age,0.002727397,0.999705358,0.969286308,1539.821403,SRSF7,6432,Q16629
ST1C2_17811.78,~ Study_group + Prednisone,0.00950334,0.999705358,0.30345853,136.2495247,ST1C2,6819,O00338
SUMF2_6069.71,~ Study_group + Prednisone,0.002968277,0.999705358,0.593571206,1343.014704,SUMF2,25870,Q8NBJ7
SURF1_8009.121,~ Study_group,0.00199381,0.999705358,0.565141875,1922.91637,SURF1,6834,Q15526
SVEP1.EGF.like.domains.4.6_11178.21,~ Study_group + Age,0.004543289,0.999705358,0.451441947,516.0371416,SVEP1:EGF-like domains 4-6,79987,Q4LDE5
TAF8_22798.111,~ Study_group + Prednisone,0.005286989,0.999705358,0.599661284,1385.079025,TAF8,129685,Q7Z7C8
Tenascin_4155.3,~ Study_group + Prednisone,0.008924827,0.999705358,0.901758585,4504.807272,Tenascin,3371,P24821
Tenascin_5738.25,~ Study_group + Age + Prednisone,0.001988343,0.999705358,0.659865704,2838.461747,Tenascin,3371,P24821
Tenascin_6260.14,~ Study_group + Age + Prednisone,0.003785946,0.999705358,0.76171526,9828.916951,Tenascin,3371,P24821
Tenascin_7131.207,~ Study_group + Age + Prednisone,0.006497499,0.999705358,0.417273971,426.7755049,Tenascin,3371,P24821
TF_4931.59,~ Study_group + Prednisone,0.002093008,0.999705358,0.745073601,691.5563951,TF,2152,P13726
TIGIT_16299.13,~ Study_group,0.001660795,0.999705358,0.28095927,154.7723889,TIGIT,201633,Q495A1
TIMP.1_2211.9,~ Study_group + Age + Prednisone,0.000931295,0.999705358,0.650188181,3499.583311,TIMP-1,7076,P01033
TIMP.1_23173.3,~ Study_group + Age + Prednisone,0.000608014,0.999705358,0.713698648,3327.286561,TIMP-1,7076,P01033
TIMP.1_25967.34,~ Study_group + Age + Prednisone,0.001660928,0.999705358,0.581323693,11333.18095,TIMP-1,7076,P01033
TKN1_9337.43,~ Study_group,0.008541393,0.999705358,0.338789141,53.9367037,TKN1,6863,P20366
TLR1.CD_11149.3,~ Study_group + Prednisone,0.009309541,0.999705358,0.326984558,153.9120556,TLR1:CD,7096,Q15399
TMEM9.CD_8597.1,~ Study_group,0.006374979,0.999705358,0.291963439,281.046963,TMEM9:CD,252839,Q9P0T7
TNF.sR.II_3152.57,~ Study_group + Age + Prednisone,0.007508321,0.999705358,0.618954354,717.328537,TNF sR-II,7133,P20333
TNF.sR.II_8368.102,~ Study_group + Age + Prednisone,0.005748907,0.999705358,1.032449656,4074.880009,TNF sR-II,7133,P20333
TNFSF18_2708.54,~ Study_group + Prednisone + Aspirin,0.006055266,0.999705358,0.443076079,325.4071678,TNFSF18,8995,Q9UNG2
TPSG1_14103.12,~ Study_group + Prednisone,0.003436757,0.999705358,0.376507207,294.2325926,TPSG1,25823,Q9NRR2
TR.CD_6895.1,~ Study_group + Prednisone,0.001401042,0.999705358,1.390889865,3313.950302,TR:CD,7037,P02786
Tropomyosin.alpha.3.chain_9890.8,~ Study_group,0.000718263,0.999705358,0.156193063,69.76825926,Tropomyosin alpha-3 chain,7170,P06753
TSP2_3339.33,~ Study_group + Age + Prednisone,0.006334184,0.999705358,0.952916281,6034.648189,TSP2,7058,P35442
TXD15_6366.38,~ Study_group + Age,0.004340807,0.999705358,0.662900578,3721.32932,TXD15,79770,Q96J42
TXN4A_21651.9,~ Study_group + Age + Prednisone + Aspirin,7.92E-05,0.57358433,1.607661261,16261.228,TXN4A,10907,P83876
TXND1_24680.51,~ Study_group,0.009604542,0.999705358,0.241268741,209.3707407,TXND1,81542,Q9H3N1
TXNDC4_6064.4,~ Study_group + Prednisone + Methotrexate + Aspirin,0.002263816,0.999705358,0.831546306,5375.532031,TXNDC4,23071,Q9BS26
UB2L3..PolyUbiquitin.K48_21931.27,~ Study_group + Age,0.009460292,0.999705358,0.102753962,19.44190874,UB2L3/ PolyUbiquitin K48,7332|7314,P68036|P0CG47
VCX1_23426.1,~ Study_group + Prednisone,0.003775009,0.999705358,0.665141373,8313.355086,VCX1,26609,Q9H320
VEGF_2597.8,~ Study_group + Age + Prednisone + Aspirin,0.000311286,0.999705358,0.734126554,3771.512365,VEGF,7422,P15692
VLA.4_21688.50,~ Study_group + Age,0.003740882,0.999705358,0.504100111,764.346762,VLA-4,3676|3688,P13612|P05556
VTM2L_6549.60,~ Study_group + Prednisone + Methotrexate,0.000168447,0.999705358,0.311079668,62.91192081,VTM2L,128434,Q96N03
WISP.2_6392.7,~ Study_group + Age,0.005654126,0.999705358,0.49685729,4080.433348,WISP-2,8839,O76076
WN10A_10044.12,~ Study_group,0.000426441,0.999705358,0.470687508,257.3781296,WN10A,80326,Q9GZT5
WNT3A_13236.25,~ Study_group + Prednisone,0.007732472,0.999705358,0.512120143,1294.634198,WNT3A,89780,P56704
XLRS1_6497.10,~ Study_group + Prednisone,0.001750814,0.999705358,0.344017385,244.1909877,XLRS1,6247,O15537
YBOX2_6372.7,~ Study_group,0.007671612,0.999705358,0.293402228,2318.559037,YBOX2,51087,Q9Y2T7
ZBT10_25075.2,~ Study_group,0.00859052,0.999705358,0.289711428,111.8090741,ZBT10,65986,Q96DT7
ZBT7A_25124.21,~ Study_group + Age + Prednisone,0.007181181,0.999705358,0.319740171,125.1432466,ZBT7A,51341,O95365
ZNF10_11567.23,~ Study_group + Prednisone,0.000664248,0.999705358,0.273265141,191.0112531,ZNF10,7556,P21506
