Protein,Nominal_pvalue,formula,Active_mean,Inactive_mean,fold_change,adjusted_pvalue,Target,Entrez
HSP.70_14237.1,0.161348604, ~ Study_group + (1|maskID),2987.02237,2747.082426,0.120807843,0.999937631,HSP 70,3303
SNX7_14245.195,0.050130764, ~ Study_group + (1|maskID),313.9505185,337.5085556,-0.104386879,0.999937631,SNX7,51375
DOK2_14246.50,0.560583751, ~ Study_group + (1|maskID),1658.612278,1788.489259,-0.108764777,0.999937631,DOK2,9046
TRIM1_14249.68,0.023000521, ~ Study_group + (1|maskID),438.1528889,464.0436296,-0.082826084,0.999937631,TRIM1,11043
BLMH_14250.115,0.281277502, ~ Study_group + (1|maskID),253.0933519,236.1080185,0.100222574,0.999937631,BLMH,642
PTN4_14254.27,0.209657346, ~ Study_group + (1|maskID),1661.735926,1983.883741,-0.255636349,0.999937631,PTN4,5775
ARHG8_14260.112,0.373969842, ~ Study_group + (1|maskID),390.3207593,405.7940185,-0.056087405,0.999937631,ARHG8,10276
SRXN1_14268.4,0.299500328, ~ Study_group + (1|maskID) + Methotrexate,612.3875556,897.0574444,-0.550755407,0.999937631,SRXN1,140809
RAB6B_14271.23,0.641529023, ~ Study_group + (1|maskID),9407.041074,10040.49644,-0.094017695,0.999937631,RAB6B,51560
PPCE_14273.19,0.2961984, ~ Study_group + (1|maskID),2971.404426,3215.758963,-0.114014295,0.999937631,PPCE,5550
RAB14_14283.12,0.206288011, ~ Study_group + (1|maskID),2573.318574,3264.697778,-0.343319371,0.999937631,RAB14,51552
E2AK4_14284.23,0.26111255, ~ Study_group + (1|maskID),152.7678889,198.7037222,-0.379277571,0.999937631,E2AK4,440275
NF.ATc1_14286.2,0.467537596, ~ Study_group + (1|maskID),392.2646111,402.0930556,-0.035702234,0.999937631,NF-ATc1,4772
RAB5C_14287.6,0.716237987, ~ Study_group + (1|maskID),21575.78315,20980.2763,0.040379249,0.999937631,RAB5C,5878
AGAP2_14291.53,0.596230952, ~ Study_group + (1|maskID),409.5321296,435.842463,-0.089830119,0.999937631,AGAP2,116986
MBD1_14294.61,0.586829115, ~ Study_group + (1|maskID),5946.700574,5685.02363,0.06492309,0.999937631,MBD1,4152
HNRH1_14309.8,0.445378153, ~ Study_group + (1|maskID),3377.245407,4082.089778,-0.273460896,0.999937631,HNRH1,3187
PPIL2_14314.6,0.07034277, ~ Study_group + (1|maskID),757.2450556,818.4747037,-0.112177576,0.999937631,PPIL2,23759
VPS29_14318.1,0.8386787, ~ Study_group + (1|maskID),7710.665741,7432.515222,0.053004915,0.999937631,VPS29,51699
CSPG6_14324.52,0.716410515, ~ Study_group + (1|maskID) + Prednisone,10160.78,9400.544481,0.11219493,0.999937631,CSPG6,9126
UB2E1_14326.4,0.863491324, ~ Study_group + (1|maskID),6608.686407,6661.289333,-0.011437908,0.999937631,UB2E1,7324
DIDO1_14329.4,0.604603018, ~ Study_group + (1|maskID),418.8737963,425.6570741,-0.023175971,0.999937631,DIDO1,11083
DYLT1_14331.262,0.383866882, ~ Study_group + (1|maskID) + Methotrexate,608.1212037,1066.117222,-0.809935276,0.999937631,DYLT1,6993
RALA_14332.3,0.967719616, ~ Study_group + (1|maskID),3867.731093,3876.762574,-0.003364889,0.999937631,RALA,5898
RECO_14334.3,0.053943197, ~ Study_group + (1|maskID),378.276963,399.152463,-0.077496994,0.999937631,RECO,5957
TPPC3_14337.1,0.054287141, ~ Study_group + (1|maskID),1187.291407,1396.286352,-0.233920769,0.999937631,TPPC3,27095
FA69C_14341.8,0.899192384, ~ Study_group + (1|maskID),1501.88637,1510.211278,-0.00797473,0.999937631,FA69C,125704
Myostatin_14583.49,0.642073432, ~ Study_group + (1|maskID),224.1540556,221.3006852,0.018482684,0.999937631,Myostatin,2660
GDF.11_14587.16,0.611896725, ~ Study_group + (1|maskID) + Age,99.38038889,104.8036111,-0.076655335,0.999937631,GDF-11,10220
F210A_14593.152,0.269390729, ~ Study_group + (1|maskID),2261.834056,3470.516444,-0.617657278,0.999937631,F210A,125228
SEM6C_14597.5,0.467118192, ~ Study_group + (1|maskID),251.1914259,254.659463,-0.019782107,0.999937631,SEM6C,10500
STAB1_14599.18,0.718224121, ~ Study_group + (1|maskID),763.2138704,768.9005556,-0.010709631,0.999937631,STAB1,23166
KIAA0040_14603.51,0.229715147, ~ Study_group + (1|maskID),3266.567778,3105.51387,0.072943563,0.999937631,KIAA0040,9674
CA130_14614.41,0.211838218, ~ Study_group + (1|maskID),8543.282907,7416.477148,0.204056493,0.999937631,CA130,400746
KRA24_14615.46,0.384166927, ~ Study_group + (1|maskID) + Age,696.7458519,653.6943704,0.092016235,0.999937631,KRA24,730755
ZN382_14616.16,0.265451939, ~ Study_group + (1|maskID),69.67227778,67.32833333,0.049370977,0.999937631,ZN382,84911
ECOP_14618.26,0.78151281, ~ Study_group + (1|maskID),2175.034944,2138.376352,0.024522792,0.999937631,ECOP,81552
ZN526_14619.8,0.17001232, ~ Study_group + (1|maskID) + Prednisone,192.6814074,198.1350556,-0.040266788,0.999937631,ZN526,116115
SUMO3_14623.26,0.97916016, ~ Study_group + (1|maskID),13273.81315,13248.32989,0.002772369,0.999937631,SUMO3,6612
CTCF_14624.51,0.782528864, ~ Study_group + (1|maskID),496.4945926,502.9455556,-0.01862423,0.999937631,CTCF,10664
FBX3_14628.72,0.341217838, ~ Study_group + (1|maskID),2011.26387,1417.512259,0.504741158,0.999937631,FBX3,26273
DUS16_14631.22,0.681794714, ~ Study_group + (1|maskID),551.2527593,557.6057222,-0.016531394,0.999937631,DUS16,80824
T185A_14633.26,0.346115938, ~ Study_group + (1|maskID),1626.464852,1708.689833,-0.071150892,0.999937631,T185A,84548
LSHR_14634.13,0.383248333, ~ Study_group + (1|maskID),183.3227778,185.7961852,-0.019334829,0.999937631,LSHR,3973
Ribonuclease.UK114_14636.25,0.269305118, ~ Study_group + (1|maskID) + Prednisone,7630.600815,6578.626741,0.214010197,0.999937631,Ribonuclease UK114,10247
GSTA4_14645.253,0.195846761, ~ Study_group + (1|maskID),1131.196426,1228.177481,-0.11866959,0.999937631,GSTA4,2941
DJC17_14655.1,0.994061495, ~ Study_group + (1|maskID),479.0837222,479.2979815,-0.000645068,0.999937631,DJC17,55192
MZF1_14662.6,0.808906203, ~ Study_group + (1|maskID),3814.843074,3765.074389,0.018945343,0.999937631,MZF1,7593
RNF8_14663.44,0.245625095, ~ Study_group + (1|maskID),1850.877352,2234.763278,-0.27191272,0.999937631,RNF8,9025
SKIL_14670.1,0.102293247, ~ Study_group + (1|maskID),1625.338759,1802.637148,-0.149368585,0.999937631,SKIL,6498
PACN3_14674.63,0.385729054, ~ Study_group + (1|maskID),205.2915926,217.1506852,-0.08102196,0.999937631,PACN3,29763
IF4B_14675.20,0.63159196, ~ Study_group + (1|maskID),21519.41913,20757.97011,0.051973764,0.999937631,IF4B,1975
CAN2_14684.17,0.249114979, ~ Study_group + (1|maskID),9013.076222,8064.108704,0.160504505,0.999937631,CAN2,824
PKB.beta_14685.17,0.392929324, ~ Study_group + (1|maskID),1934.736222,2340.255426,-0.274529115,0.999937631,PKB beta,208
M6PBP_14687.6,0.045717239, ~ Study_group + (1|maskID),248.8907593,261.4405926,-0.070970491,0.999937631,M6PBP,10226
PTN7_14688.6,0.950959486, ~ Study_group + (1|maskID),266.6828889,266.0379815,0.003493031,0.999937631,PTN7,5778
SEC13_14689.3,0.509500457, ~ Study_group + (1|maskID),2726.628574,2832.735537,-0.055077731,0.999937631,SEC13,6396
ZN276_14692.3,0.604703329, ~ Study_group + (1|maskID),12320.67511,12858.03459,-0.061588827,0.999937631,ZN276,92822
TPSB2_14696.45,0.342808907, ~ Study_group + (1|maskID),942.7722963,847.9372593,0.152951845,0.999937631,TPSB2,64499
EG.VEGF_14703.6,0.512397363, ~ Study_group + (1|maskID),265.0608704,272.8671667,-0.041875102,0.999937631,EG-VEGF,84432
VEGF.D_14705.1,0.320424891, ~ Study_group + (1|maskID),1275.548407,1364.758815,-0.097528365,0.999937631,VEGF-D,2277
CO8G_14708.59,0.186126817, ~ Study_group + (1|maskID),74392.53122,71005.19396,0.067233226,0.999937631,CO8G,733
Cystatin.M_14711.27,0.570793907, ~ Study_group + (1|maskID),29761.2337,28510.5893,0.061936473,0.999937631,Cystatin M,1474
Azurocidin_14713.46,0.035646348, ~ Study_group + (1|maskID),273.8347037,265.041463,0.047087222,0.999937631,Azurocidin,566
CRLF1_14747.9,0.266298675, ~ Study_group + (1|maskID),1052.389074,1155.925574,-0.135380335,0.999937631,CRLF1,9244
RHG05_14748.31,0.833533753, ~ Study_group + (1|maskID),1466.281111,1500.285463,-0.033075313,0.999937631,RHG05,394
Lactoferrin_14755.4,0.624380199, ~ Study_group + (1|maskID),343.2739815,340.0206111,0.013738311,0.999937631,Lactoferrin,4057
sICAM.2_14756.29,0.623579268, ~ Study_group + (1|maskID),8043.597593,8332.431259,-0.050896603,0.999937631,sICAM-2,3384
FGF.8B_14757.144,0.337630732, ~ Study_group + (1|maskID),133.2533704,152.5422407,-0.195036774,0.999937631,FGF-8B,2253
Cadherin.E_14759.149,0.319939996, ~ Study_group + (1|maskID),1832.714704,1761.757593,0.056966789,0.999937631,Cadherin E,999
IGF.II.Mature_15295.81,0.438716708, ~ Study_group + (1|maskID),25051.1757,27545.27015,-0.136926298,0.999937631,IGF-II:Mature,3481
S100A3_15297.3,0.378704785, ~ Study_group + (1|maskID),520.2290185,538.3051481,-0.049277347,0.999937631,S100A3,6274
NETO1_15298.199,0.141856245, ~ Study_group + (1|maskID),345.2263148,301.4735,0.195511245,0.999937631,NETO1,81832
MESD2_15299.102,0.892916934, ~ Study_group + (1|maskID),8393.508963,8499.410315,-0.018088686,0.999937631,MESD2,23184
CC134_15300.66,0.739834984, ~ Study_group + (1|maskID),2798.048593,2863.121648,-0.033167951,0.999937631,CC134,79879
sperm.protein.10_15301.24,0.831063598, ~ Study_group + (1|maskID),366.8469815,364.5523889,0.009052259,0.999937631,sperm protein 10,56
S100A5_15303.63,0.214531828, ~ Study_group + (1|maskID),2638.825444,3228.393685,-0.290920597,0.999937631,S100A5,6276
PAP1_15304.1,0.496658183, ~ Study_group + (1|maskID),14047.501,12833.5827,0.130389525,0.999937631,PAP1,5068
Secretagogin_15305.7,0.609394091, ~ Study_group + (1|maskID),993.7780741,947.8839815,0.068213224,0.999937631,Secretagogin,10590
IgJ_15306.20,0.215674769, ~ Study_group + (1|maskID) + Sex,485.179037,501.6074444,-0.048041542,0.999937631,IgJ,3512
VWC2_15308.108,0.539450374, ~ Study_group + (1|maskID) + Age,5392.677,5698.190741,-0.07950229,0.999937631,VWC2,375567
PRC1_15310.61,0.023512081, ~ Study_group + (1|maskID),1177.590148,1102.872648,0.094571298,0.999937631,PRC1,9055
AGO1_15312.14,0.973880451, ~ Study_group + (1|maskID),2515.460278,2523.167093,-0.004413342,0.999937631,AGO1,26523
MD2L1_15313.28,0.647806257, ~ Study_group + (1|maskID),1198.612685,1171.208963,0.033367048,0.999937631,MD2L1,4085
CLIC4_15314.49,0.83198034, ~ Study_group + (1|maskID),16587.64985,16978.92785,-0.033635863,0.999937631,CLIC4,25932
CUTC_15315.64,0.840186119, ~ Study_group + (1|maskID),1056.139463,1049.150907,0.009578148,0.999937631,CUTC,51076
TXN4B_15316.262,0.763282927, ~ Study_group + (1|maskID),3788.473389,3940.710667,-0.056839214,0.999937631,TXN4B,54957
Calpactin.I.light.chain_15318.75,0.249949416, ~ Study_group + (1|maskID),2076.934056,1905.333019,0.124412233,0.999937631,Calpactin I light chain,6281
CCNA1_15319.226,0.268981722, ~ Study_group + (1|maskID),987.3137407,721.1749259,0.453159368,0.999937631,CCNA1,8900
CPLX2_15321.8,0.775545405, ~ Study_group + (1|maskID) + Age,827.4940741,818.5689259,0.015645079,0.999937631,CPLX2,10814
CRADD_15322.35,0.080526916, ~ Study_group + (1|maskID),2682.161815,2885.2465,-0.105298303,0.999937631,CRADD,8738
AGO3_15323.112,0.9464741, ~ Study_group + (1|maskID),1233.888556,1238.038185,-0.004843716,0.999937631,AGO3,192669
Ferritin.light.chain_15324.58,0.024049467, ~ Study_group + (1|maskID) + Sex,9101.142148,12020.45163,-0.401371589,0.999937631,Ferritin light chain,2512
NEUM_15325.14,0.84798204, ~ Study_group + (1|maskID),10203.30498,10518.7608,-0.043928217,0.999937631,NEUM,2596
GBP1_15326.64,0.776344156, ~ Study_group + (1|maskID),21097.63019,20460.84437,0.044215273,0.999937631,GBP1,2633
MAPIP_15329.167,0.057463481, ~ Study_group + (1|maskID),778.0317407,837.3769444,-0.106048184,0.999937631,MAPIP,28956
RBBP4_15331.47,0.298120692, ~ Study_group + (1|maskID),2480.238463,2756.907185,-0.152571863,0.999937631,RBBP4,5928
SDF2_15333.11,0.36299933, ~ Study_group + (1|maskID),489.3099259,467.8272222,0.064772736,0.999937631,SDF2,6388
SELM_15336.7,0.688856081, ~ Study_group + (1|maskID) + Age,18275.22422,17834.81574,0.035192796,0.999937631,SELM,140606
COF2_15339.32,0.684059209, ~ Study_group + (1|maskID) + Age,770.3358889,735.0633333,0.067619082,0.999937631,COF2,1073
Kininogen..HMW..Two.Chain_15343.337,0.547861995, ~ Study_group + (1|maskID),4297.350222,4024.212167,0.094740988,0.999937631,"Kininogen, HMW, Two Chain",3827
IFN.g_15346.31,0.481391998, ~ Study_group + (1|maskID),538.2108148,479.477463,0.166708375,0.999937631,IFN-g,3458
Hemopexin_15347.12,0.293682847, ~ Study_group + (1|maskID),197287.6151,200029.2434,-0.019910539,0.999937631,Hemopexin,3263
X7B2_15358.28,0.72885617, ~ Study_group + (1|maskID),15170.05422,14720.17185,0.043431728,0.999937631,7B2,6447
ANKR1_15361.37,0.829251365, ~ Study_group + (1|maskID),702.6354444,706.4426667,-0.007796124,0.999937631,ANKR1,27063
Apo.A.V_15363.32,0.471736018, ~ Study_group + (1|maskID),26791.31804,25380.98337,0.078017592,0.999937631,Apo A-V,116519
Apo.C.I_15364.101,0.234141087, ~ Study_group + (1|maskID),162455.8583,158272.3785,0.037638269,0.999937631,Apo C-I,341
BAI3_15365.41,0.374189515, ~ Study_group + (1|maskID),818.8569259,631.7048519,0.374360747,0.999937631,BAI3,577
LPLC1_15367.38,0.601983923, ~ Study_group + (1|maskID),14626.01122,13749.46985,0.089160381,0.999937631,LPLC1,92747
BMPER_15368.3,0.597093662, ~ Study_group + (1|maskID),1566.780148,1609.587278,-0.038888053,0.999937631,BMPER,168667
BOLA1_15370.5,0.645500479, ~ Study_group + (1|maskID) + Methotrexate,1089.523093,1086.199056,0.004408261,0.999937631,BOLA1,51027
BRD2_15372.43,0.056146206, ~ Study_group + (1|maskID),518.6091111,469.4685556,0.143619021,0.999937631,BRD2,6046
CA11.protein_15374.15,0.580023787, ~ Study_group + (1|maskID),1870.469907,1814.901463,0.043509534,0.999937631,CA11 protein,56287
Carboxypeptidase.B1_15375.49,0.604836174, ~ Study_group + (1|maskID),2974.899148,3134.101593,-0.075211185,0.999937631,Carboxypeptidase B1,1360
CATE_15376.134,0.201096289, ~ Study_group + (1|maskID),1120.739315,995.8464444,0.170455538,0.999937631,CATE,1510
Discoidin.domain.receptor.2_15381.45,0.596753205, ~ Study_group + (1|maskID),620.6003704,570.7663889,0.120764178,0.999937631,Discoidin domain receptor 2,4921
Endothelin.3_15383.200,0.662595072, ~ Study_group + (1|maskID) + Methotrexate,962.9187407,991.5254259,-0.042235712,0.999937631,Endothelin 3,1908
KLOTHO_15384.15,0.377292685, ~ Study_group + (1|maskID) + Smoking,2979.002074,2759.270759,0.110542097,0.999937631,KLOTHO,9365
FABP2_15385.116,0.970570512, ~ Study_group + (1|maskID) + Age,1761.99537,1765.502407,-0.002868655,0.999937631,FABP2,2169
FABPA_15386.7,0.203223105, ~ Study_group + (1|maskID) + Age,51773.73419,46822.07289,0.14503157,0.999937631,FABPA,2167
Neuropilin.2_15387.44,0.922081289, ~ Study_group + (1|maskID),29190.62052,29354.81315,-0.008092194,0.999937631,Neuropilin-2,8828
FcRIIIa_15388.24,0.791875836, ~ Study_group + (1|maskID),6860.295889,7168.408574,-0.063382066,0.999937631,FcRIIIa,2214
FRDA_15389.1,0.316463018, ~ Study_group + (1|maskID),984.0621852,574.8612407,0.775535723,0.999937631,FRDA,2395
Galanin_15390.3,0.873132118, ~ Study_group + (1|maskID),1419.521556,1409.057944,0.010673816,0.999937631,Galanin,51083
GAS.6_15391.114,0.288265011, ~ Study_group + (1|maskID),1681.287759,2126.464463,-0.338890076,0.999937631,GAS-6,2621
UNC5B_15394.79,0.583314201, ~ Study_group + (1|maskID) + Age,10253.92385,10832.44515,-0.079182842,0.999937631,UNC5B,219699
GST.M1.1_15395.15,0.841536823, ~ Study_group + (1|maskID),1123.465815,1104.036593,0.025168236,0.999937631,GST M1-1,2944
HERV1_15398.2,0.348821196, ~ Study_group + (1|maskID),1377.951722,1509.278796,-0.131333985,0.999937631,HERV1,2671
ID.1_15402.2,0.088917279, ~ Study_group + (1|maskID),852.8238519,1031.495037,-0.274417187,0.999937631,ID-1,3397
ID2_15403.53,0.291628124, ~ Study_group + (1|maskID),781.7632778,698.2300556,0.163029358,0.999937631,ID2,3398
IFN21_15404.3,0.167170758, ~ Study_group + (1|maskID),348.3713148,927.6537778,-1.412960622,0.999937631,IFN21,3452
IFNA4_15405.23,0.447785664, ~ Study_group + (1|maskID),295.4491296,302.7226481,-0.035086865,0.999937631,IFNA4,3441
KIAP_15412.40,0.660374036, ~ Study_group + (1|maskID),446.207963,415.4753519,0.102953369,0.999937631,KIAP,79444
LCAT_15413.3,0.03876207, ~ Study_group + (1|maskID),440.1845741,471.217537,-0.098284644,0.999937631,LCAT,3931
LDHA_15414.316,0.317689008, ~ Study_group + (1|maskID) + Methotrexate,33750.59041,31690.04507,0.090883028,0.999937631,LDHA,3939
LYG2_15416.54,0.177665227, ~ Study_group + (1|maskID),1554.06787,2404.174685,-0.629492213,0.999937631,LYG2,254773
Maspin_15417.3,0.220647685, ~ Study_group + (1|maskID),408.4507037,366.6053148,0.155934267,0.999937631,Maspin,5268
MK10_15418.25,0.821130558, ~ Study_group + (1|maskID),1892.990981,1960.22063,-0.050348506,0.999937631,MK10,5602
MMP20_15419.15,0.311620341, ~ Study_group + (1|maskID),997.4646667,1059.205389,-0.086644725,0.999937631,MMP20,9313
MYP2_15422.12,0.642141322, ~ Study_group + (1|maskID),248.4856111,237.8131481,0.063333832,0.999937631,MYP2,5375
NEUR1_15426.5,0.951908265, ~ Study_group + (1|maskID),3206.801815,3194.374,0.005601961,0.999937631,NEUR1,4758
LOXL3_15427.35,0.983636508, ~ Study_group + (1|maskID),4721.683593,4708.574426,0.004011034,0.999937631,LOXL3,84695
OPT_15430.165,0.334440513, ~ Study_group + (1|maskID),4592.118019,4226.531444,0.119685537,0.999937631,OPT,26254
OTCase_15431.31,0.990250804, ~ Study_group + (1|maskID),1618.513833,1616.196019,0.002067512,0.999937631,OTCase,5009
Otoraplin_15432.1,0.210460572, ~ Study_group + (1|maskID),966.9073704,1063.520037,-0.137397623,0.999937631,Otoraplin,56914
p60.Src_15433.4,0.84034493, ~ Study_group + (1|maskID),4523.966519,4695.383148,-0.053654636,0.999937631,p60-Src,6714
PNOC_15434.5,0.327617203, ~ Study_group + (1|maskID),429.0757963,370.0827407,0.213384667,0.999937631,PNOC,5368
PNP_15435.4,0.988022528, ~ Study_group + (1|maskID),4220.885815,4228.229019,-0.00250772,0.999937631,PNP,4860
RAMP1_15436.40,0.294923702, ~ Study_group + (1|maskID),514.0883889,540.6556667,-0.072693633,0.999937631,RAMP1,10267
RAMP3_15437.11,0.60859907, ~ Study_group + (1|maskID),853.1977037,869.4026667,-0.027144438,0.999937631,RAMP3,10268
RND3_15439.21,0.372719859, ~ Study_group + (1|maskID),632.6743148,552.6717963,0.195040035,0.999937631,RND3,390
NEC2_15440.57,0.648831198, ~ Study_group + (1|maskID),920.7358519,884.2605741,0.058315758,0.999937631,NEC2,5126
SAP3_15441.6,0.77919917, ~ Study_group + (1|maskID) + Age,1227.424963,1259.339074,-0.037031948,0.999937631,SAP3,2760
SCCA2_15444.45,0.806735731, ~ Study_group + (1|maskID),1611.279852,1506.9805,0.096546338,0.999937631,SCCA2,6318
SMDF_15446.25,0.656690759, ~ Study_group + (1|maskID),4523.879,4412.391815,0.035999436,0.999937631,SMDF,3084
Sorbitol.dehydrogenase_15447.45,0.833969984, ~ Study_group + (1|maskID),21478.01719,21133.51519,0.023328058,0.999937631,Sorbitol dehydrogenase,6652
SQSTM_15448.47,0.182754859, ~ Study_group + (1|maskID),597.3115,652.6335741,-0.127789709,0.999937631,SQSTM,8878
TIM.4_15449.33,0.036615464, ~ Study_group + (1|maskID),493.1372778,651.219537,-0.401154667,0.999937631,TIM-4,91937
X5..Nucleotidase_15452.5,0.710730013, ~ Study_group + (1|maskID),12210.35033,11863.10637,0.041622763,0.999937631,5'-Nucleotidase,4907
a1.Microglobulin_15453.3,0.699698277, ~ Study_group + (1|maskID),90563.28696,91829.46326,-0.020030792,0.999937631,a1-Microglobulin,259
ADA15.ECD_15455.40,0.045040285, ~ Study_group + (1|maskID),3699.190389,5080.729426,-0.457826081,0.999937631,ADA15:ECD,8751
Aminopeptidase.N_15457.14,0.266233106, ~ Study_group + (1|maskID),1309.614574,1592.266759,-0.281939775,0.999937631,Aminopeptidase N,290
CD26_15460.9,0.847075385, ~ Study_group + (1|maskID),1460.022537,1450.475537,0.009464675,0.999937631,CD26,1803
CD8A_15462.28,0.960871723, ~ Study_group + (1|maskID),17838.31274,17768.9083,0.005624116,0.999937631,CD8A,925
CNPY4_15465.79,0.739955833, ~ Study_group + (1|maskID),8058.873778,8306.353278,-0.043636995,0.999937631,CNPY4,245812
CO9A1_15466.30,0.348630939, ~ Study_group + (1|maskID),201.7501111,188.4698889,0.09823542,0.999937631,CO9A1,1297
CTHR1_15467.10,0.95902448, ~ Study_group + (1|maskID),50419.52159,50546.94941,-0.003641597,0.999937631,CTHR1,115908
FHR1_15468.14,0.677124091, ~ Study_group + (1|maskID),52744.5683,53657.74859,-0.024763991,0.999937631,FHR1,3078
Hexosaminidase.B_15470.11,0.327829477, ~ Study_group + (1|maskID) + Age,920.3142037,1023.601222,-0.153455375,0.999937631,Hexosaminidase B,3074
LIPR2_15471.29,0.208360832, ~ Study_group + (1|maskID),767.7537037,843.6549444,-0.136009489,0.999937631,LIPR2,5408
LRP11_15472.16,0.438345157, ~ Study_group + (1|maskID) + Age,3003.461148,3165.839407,-0.075962072,0.999937631,LRP11,84918
PIN1_15474.7,0.807833988, ~ Study_group + (1|maskID),6763.123963,6628.266852,0.029058111,0.999937631,PIN1,5300
PLTP_15475.4,0.688532035, ~ Study_group + (1|maskID),18764.26374,18296.26119,0.036438818,0.999937631,PLTP,5360
REG3G_15476.6,0.526304251, ~ Study_group + (1|maskID) + Age,2714.367667,2508.548852,0.113763116,0.999937631,REG3G,130120
VNN2_15480.2,0.611804015, ~ Study_group + (1|maskID),1004.120944,977.0712407,0.039397388,0.999937631,VNN2,8875
LL.37_15481.45,0.250098465, ~ Study_group + (1|maskID),39529.3263,37290.86719,0.08410102,0.999937631,LL-37,820
A2ML1_15482.12,0.725685781, ~ Study_group + (1|maskID),727.6442037,713.5420185,0.028234799,0.999937631,A2ML1,144568
Agrin_15483.377,0.517828691, ~ Study_group + (1|maskID),3426.303463,3325.63063,0.043024994,0.999937631,Agrin,375790
ABP1_15486.126,0.94014745, ~ Study_group + (1|maskID),4406.351815,4350.505148,0.018401763,0.999937631,ABP1,26
carboxylesterase..liver_15487.164,0.439222731, ~ Study_group + (1|maskID) + Prednisone,6108.6445,5741.940352,0.08931394,0.999937631,"carboxylesterase, liver",1066
CD248_15491.20,0.294437742, ~ Study_group + (1|maskID) + Age,17954.61522,16501.94696,0.121718486,0.999937631,CD248,57124
CRIM1.ECD_15492.1,0.137992618, ~ Study_group + (1|maskID) + Age,269.7585,259.6334444,0.055192185,0.999937631,CRIM1:ECD,51232
FGFP1_15494.11,0.238863008, ~ Study_group + (1|maskID),1105.646556,1026.627,0.106978161,0.999937631,FGFP1,9982
FOLR3_15495.9,0.194467174, ~ Study_group + (1|maskID),602.2440185,436.774537,0.463459407,0.999937631,FOLR3,2352
HS3S1_15497.9,0.973349497, ~ Study_group + (1|maskID) + Smoking,1049.831593,1050.903611,-0.001472433,0.999937631,HS3S1,9957
Attractin_15499.11,0.46641993, ~ Study_group + (1|maskID),1177.553574,1154.585741,0.028417385,0.999937631,Attractin,8455
Lefty.A_15503.15,0.500625024, ~ Study_group + (1|maskID),13797.15537,14526.24593,-0.07429106,0.999937631,Lefty-A,7044
Lefty.A_15503.20,0.059140858, ~ Study_group + (1|maskID),982.3911852,854.2548889,0.201631017,0.999937631,Lefty-A,7044
Livin.B_15504.39,0.513629972, ~ Study_group + (1|maskID),878.2269444,861.9860185,0.026929329,0.999937631,Livin B,79444
LRP12_15506.34,0.224774907, ~ Study_group + (1|maskID),552.9306852,525.026037,0.074709667,0.999937631,LRP12,29967
NAG_15509.2,0.87962136, ~ Study_group + (1|maskID),6808.50187,6958.909833,-0.031523929,0.999937631,NAG,4669
NPTXR_15511.37,0.487383869, ~ Study_group + (1|maskID),1186.370093,1123.225722,0.078906255,0.999937631,NPTXR,23467
Prostasin_15513.108,0.261540888, ~ Study_group + (1|maskID),1843.171796,1723.692,0.096688539,0.999937631,Prostasin,5652
Pseudocholinesterase_15514.26,0.028479281, ~ Study_group + (1|maskID),11854.37463,10290.25217,0.20414122,0.999937631,Pseudocholinesterase,590
SAA_15515.2,0.195882885, ~ Study_group + (1|maskID),60768.75348,75120.37259,-0.30587452,0.999937631,SAA,6288
SAA.4_15516.12,0.492234858, ~ Study_group + (1|maskID),69439.24241,67848.05815,0.033443682,0.999937631,SAA-4,6291
Alcadein.alpha.1_15521.4,0.604167507, ~ Study_group + (1|maskID),2095.175407,2041.693963,0.037304399,0.999937631,Alcadein alpha-1,22883
GAPR1_15522.2,0.66925341, ~ Study_group + (1|maskID),32805.72041,32054.53141,0.033419084,0.999937631,GAPR1,152007
HEM2_15523.9,0.226029249, ~ Study_group + (1|maskID),16533.66156,15138.2673,0.127206174,0.999937631,HEM2,210
PGAM2_15524.30,0.614352675, ~ Study_group + (1|maskID),5119.59537,5493.99287,-0.101825248,0.999937631,PGAM2,5224
ADH1G_15525.294,0.467283017, ~ Study_group + (1|maskID),1087.772574,939.2438148,0.211805341,0.999937631,ADH1G,126
GSHB_15526.33,0.276716067, ~ Study_group + (1|maskID),1778.581333,1700.761222,0.064546341,0.999937631,GSHB,2937
DLDH_15527.90,0.671281593, ~ Study_group + (1|maskID),5237.062574,5370.265667,-0.036235617,0.999937631,DLDH,1738
Cysteine.rich.protein.1_15529.33,0.674369531, ~ Study_group + (1|maskID),29127.53807,27969.94641,0.058506277,0.999937631,Cysteine-rich protein 1,1465
EphB4_15530.33,0.955257714, ~ Study_group + (1|maskID) + Age + Smoking,5862.955333,5863.266463,-7.66E-05,0.999937631,EphB4,2050
Macrophage.scavenger.receptor.ECD_15533.97,0.397885901, ~ Study_group + (1|maskID) + Age + Smoking,11586.23602,12901.28804,-0.155103149,0.999937631,Macrophage scavenger receptor:ECD,4481
Malate.dehydrogenase.2_15534.26,0.968725067, ~ Study_group + (1|maskID),39193.70944,39401.20711,-0.007617708,0.999937631,Malate dehydrogenase 2,4191
Marapsin_15535.3,0.199643535, ~ Study_group + (1|maskID),1581.479074,1427.152741,0.148134719,0.999937631,Marapsin,83886
SLIK1_15539.15,0.053664572, ~ Study_group + (1|maskID) + Age,1217.289093,1094.504796,0.153393556,0.999937631,SLIK1,114798
